# Combination of '2020acbx' data from 'ATLAS', 'ZTF'
filter, zp, ra, dec, mjd, mag, dmag, flux, dflux, source
o, 23.9, 131.58829, -12.65599, 59244.521994, 20.19, 0.89, 30.0, 27.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59244.523374, 19.611, 0.573, 52.0, 30.0, ATLAS
c, 23.9, 131.58829, -12.65599, 59258.373919, 20.74, 0.533, 18.0, 10.0, ATLAS
c, 23.9, 131.58829, -12.65599, 59258.382703, 21.186, 0.738, 12.0, 9.0, ATLAS
c, 23.9, 131.58829, -12.65599, 59261.423286, 20.645, 0.378, 20.0, 8.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59264.391024, 20.199, 0.419, 30.0, 13.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59266.390645, 16.082, 0.862, 1340.0, 1156.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59268.3443, 20.849, 0.796, 17.0, 13.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59272.527651, 19.559, 0.777, 54.0, 42.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59278.452597, 19.533, 0.707, 56.0, 40.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59280.377416, 21.392, 0.889, 10.0, 9.0, ATLAS
