# Object Type: Normal SNe Ia; Date: 2004 to 2025; Number SNe: 99; CSP: 99 | ATLAS: 0 | ZTF: 0 | ATLAS+ZTF: 0
Name,RA,DEC,Redshift,Discovery Date (UT),Data Source(s)
SN 2004ef,22:42:10.02,+19:59:40.4,0.0310,2004-09-04 00:00:00.000,CSP
SN 2008fp,07:16:32.60,-29:19:31.8,0.0057,2008-09-11 00:00:00.000,CSP
SN 2009D,03:54:22.83,-19:10:54.2,0.0250,2009-01-02 00:00:00.000,CSP
SN 2005na,07:01:36.62,+14:07:59.7,0.0263,2005-12-31 00:00:00.000,CSP
SN 2009le,02:09:17.14,-23:24:44.8,0.0178,2009-11-16 00:00:00.000,CSP
SN 2009ab,04:16:36.39,+02:45:51.0,0.0112,2009-02-08 00:00:00.000,CSP
SN 2008ff,20:13:59.96,-44:21:07.8,0.0193,2008-09-01 00:00:00.000,CSP
SN 2004dt,02:02:12.77,-00:05:51.5,0.0197,2004-08-11 00:00:00.000,CSP


