# Combination of '2023fwb' data from 'ATLAS', 'ZTF'
filter, zp, z, ra, dec, mjd, mag, dmag, flux, dflux, source
c, nan, nan, 320.91415, 39.58093, 60113.521553, -20.776, 0.615, -18.0, 11.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60113.52337, 20.257, 0.396, 29.0, 11.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60113.524449, 22.115, 2.051, 5.0, 11.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60113.529168, 21.084, 0.871, 13.0, 12.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60113.530072, 20.697, 0.566, 19.0, 11.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60113.551167, 21.048, 0.748, 14.0, 10.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60114.495014, 20.706, 0.595, 19.0, 11.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60114.497814, 21.286, 1.04, 11.0, 12.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60114.521074, 23.282, 6.545, 2.0, 12.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60114.526629, 20.188, 0.36, 30.0, 11.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60117.542582, 20.873, 0.483, 16.0, 8.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60117.546289, 21.15, 0.911, 13.0, 12.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60117.549125, 21.204, 0.767, 12.0, 9.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60117.565497, 21.149, 0.776, 13.0, 10.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60124.48444, 19.666, 0.305, 49.0, 15.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60124.49448, 20.511, 0.624, 23.0, 14.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60124.498382, 20.429, 0.515, 24.0, 13.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60124.509987, -23.893, 13.625, -1.0, 14.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60125.485519, -21.416, 1.821, -10.0, 18.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60125.512276, -21.873, 2.266, -6.0, 15.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60125.514989, 20.662, 0.767, 20.0, 15.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60125.5177, -24.12, 19.75, -1.0, 16.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60128.269056, -17.986, 0.432, -232.0, 100.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60128.288239, 18.948, 0.787, 96.0, 75.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60128.28959, -18.726, 0.533, -117.0, 63.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60128.292301, -19.331, 1.01, -67.0, 68.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60129.518004, 19.804, 0.526, 44.0, 23.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60129.524537, 20.385, 0.877, 26.0, 22.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60129.527804, 20.517, 1.082, 23.0, 24.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60129.553311, -21.315, 2.097, -11.0, 23.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60130.488167, -20.378, 0.736, -26.0, 19.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60130.489523, 21.333, 1.638, 11.0, 17.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60130.494769, -19.681, 0.347, -49.0, 17.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60130.509849, 20.301, 0.661, 28.0, 18.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60131.52175, -23.795, 15.5, -1.0, 17.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60131.523222, 20.322, 0.69, 27.0, 19.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60131.526496, -21.339, 1.204, -11.0, 13.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60131.562621, 20.433, 0.63, 24.0, 15.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60132.490059, 19.88, 0.432, 40.0, 18.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60132.491416, 20.625, 1.031, 20.0, 21.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60132.496621, -21.168, 1.358, -12.0, 17.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60132.507931, 22.329, 3.579, 4.0, 15.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60134.244216, 15.227, 0.514, 2945.0, 1513.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60134.247003, -15.395, 0.469, -2524.0, 1183.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60134.273919, -15.416, 0.791, -2476.0, 1958.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60134.448553, 20.705, 0.795, 19.0, 15.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60134.450892, 21.829, 2.421, 7.0, 16.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60134.469425, -21.028, 1.67, -14.0, 24.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60134.472327, 21.242, 2.051, 12.0, 24.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60136.527525, -21.372, 2.326, -10.0, 24.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60136.531978, 20.303, 0.97, 28.0, 27.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60136.537614, -20.148, 2.727, -32.0, 86.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60137.539308, 20.244, 0.485, 29.0, 14.0, ATLAS
