ra,dec,z,z_err,discdate,mjd,mag,dmag,flux,dflux,zp,filter
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60580.546664,19.603,0.239,52.0,12.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60580.549839,19.014,0.136,90.0,12.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60580.555262,19.144,0.16,80.0,13.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60582.491591,19.246,0.162,73.0,12.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60582.494826,19.402,0.179,63.0,11.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60582.520239,19.879,0.266,41.0,11.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60582.534163,19.638,0.203,51.0,10.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60583.275263,19.703,0.304,48.0,14.0,23.9,c
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60583.278484,19.936,0.353,38.0,14.0,23.9,c
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60583.281295,20.297,0.429,28.0,12.0,23.9,c
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60583.315223,19.485,0.22,58.0,13.0,23.9,c
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60584.529776,20.799,0.792,17.0,14.0,23.9,c
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60584.534751,20.764,0.629,18.0,11.0,23.9,c
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60584.54109,20.648,0.632,20.0,13.0,23.9,c
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60584.983404,19.931,0.506,39.0,20.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60584.986598,20.49,0.953,23.0,22.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60585.001046,19.804,0.409,44.0,18.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60586.544664,20.722,0.662,19.0,12.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60586.557233,20.221,0.341,30.0,10.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60586.562789,20.25,0.379,29.0,11.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60587.295853,19.902,0.293,40.0,12.0,23.9,c
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60587.297659,20.246,0.297,29.0,9.0,23.9,c
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60587.318295,21.216,0.887,12.0,10.0,23.9,c
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60587.32373,20.855,0.667,16.0,11.0,23.9,c
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60588.468581,20.454,0.488,24.0,12.0,23.9,c
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60588.500533,20.273,0.422,28.0,12.0,23.9,c
