# Combined data from 'ATLAS-ZTF' for 'SN 2019cp'
ra, dec, filter, mjd, mag, dmag, flux, dflux, zp, source
163.70851, -7.381, o, 58532.461847, 19.526, 0.874, 56, 49, 19.529529932484497, ATLAS-ZTF
163.70851, -7.381, o, 58532.466238, -19.512, 0.728, -57, 41, nan, ATLAS-ZTF
163.70851, -7.381, o, 58532.472136, 18.775, 0.486, 112, 54, 18.776954943324544, ATLAS-ZTF
163.70851, -7.381, o, 58532.474824, 19.277, 0.644, 71, 46, 19.27185412820231, ATLAS-ZTF
163.70851, -7.381, o, 58532.476323, -20.29, 1.568, -28, 44, nan, ATLAS-ZTF
163.70851, -7.381, o, 58532.48216, 20.425, 4.236, 25, 104, 20.405149978319905, ATLAS-ZTF
163.70851, -7.381, o, 58532.484604, 22.492, 13.364, 4, 49, 22.394850021680092, ATLAS-ZTF
163.70851, -7.381, o, 58532.486074, -19.735, 1.132, -46, 52, nan, ATLAS-ZTF
163.70851, -7.381, o, 58532.491425, -19.034, 0.614, -88, 54, nan, ATLAS-ZTF
163.70851, -7.381, o, 58532.494633, -21.395, 5.778, -10, 58, nan, ATLAS-ZTF
163.70851, -7.381, o, 58532.496033, -21.23, 4.0, -12, 47, nan, ATLAS-ZTF
163.70851, -7.381, o, 58532.497879, 18.713, 0.54, 119, 64, 18.711132596518674, ATLAS-ZTF
163.70851, -7.381, o, 58536.47693, 20.557, 1.855, 22, 40, 20.543943297944484, ATLAS-ZTF
163.70851, -7.381, o, 58536.485167, -20.936, 3.109, -15, 48, nan, ATLAS-ZTF
163.70851, -7.381, o, 58536.49338, 19.989, 0.978, 37, 36, 19.97949568983251, ATLAS-ZTF
163.70851, -7.381, o, 58536.501394, 19.513, 1.771, 57, 101, 19.51031286081877, ATLAS-ZTF
163.70851, -7.381, o, 58540.4652, 22.994, 5.364, 2, 12, 23.147425010840045, ATLAS-ZTF
163.70851, -7.381, o, 58540.473279, 19.95, 0.358, 38, 14, 19.950541008457975, ATLAS-ZTF
163.70851, -7.381, o, 58540.481402, -21.13, 0.918, -13, 12, nan, ATLAS-ZTF
163.70851, -7.381, o, 58540.489451, 20.341, 0.52, 26, 14, 20.362566630072955, ATLAS-ZTF
163.70851, -7.381, o, 58544.461229, 20.323, 0.547, 27, 15, 20.32159058960253, ATLAS-ZTF
163.70851, -7.381, o, 58544.470177, 21.317, 1.174, 11, 13, 21.296518287104437, ATLAS-ZTF
163.70851, -7.381, o, 58544.478597, 20.241, 0.445, 29, 13, 20.24400500525261, ATLAS-ZTF
163.70851, -7.381, o, 58544.487486, 20.976, 1.17, 15, 17, 20.959771852360795, ATLAS-ZTF
163.70851, -7.381, o, 58548.454669, -20.591, 10.143, -21, 214, nan, ATLAS-ZTF
163.70851, -7.381, o, 58548.463641, -18.693, 5.0, -121, 605, nan, ATLAS-ZTF
163.70851, -7.381, o, 58548.472086, -17.898, 1.895, -252, 477, nan, ATLAS-ZTF
163.70851, -7.381, o, 58552.441917, 19.984, 0.605, 37, 22, 19.97949568983251, ATLAS-ZTF
163.70851, -7.381, o, 58552.445875, 21.216, 2.37, 12, 28, 21.202046884880936, ATLAS-ZTF
163.70851, -7.381, o, 58552.450995, 17.682, 0.51, 307, 156, 17.68215406130703, ATLAS-ZTF
163.70851, -7.381, o, 58552.454962, 18.171, 0.43, 196, 84, 18.169359821608808, ATLAS-ZTF
163.70851, -7.381, o, 58552.459428, -19.134, 1.472, -81, 119, nan, ATLAS-ZTF
163.70851, -7.381, o, 58552.463501, 20.38, 4.5, 26, 115, 20.362566630072955, ATLAS-ZTF
163.70851, -7.381, o, 58552.468599, -20.408, 2.174, -25, 54, nan, ATLAS-ZTF
163.70851, -7.381, o, 58552.4726, -18.847, 0.623, -105, 65, nan, ATLAS-ZTF
163.70851, -7.381, o, 58556.433949, 22.698, 3.929, 3, 12, 22.707196863200842, ATLAS-ZTF
163.70851, -7.381, o, 58556.442855, 21.041, 0.887, 14, 12, 21.034679910804403, ATLAS-ZTF
163.70851, -7.381, o, 58556.451226, -24.099, 15.25, -1, 13, nan, ATLAS-ZTF
163.70851, -7.381, o, 58556.460168, 22.513, 3.105, 4, 11, 22.394850021680092, ATLAS-ZTF
163.70851, -7.381, o, 58560.411966, 19.363, 0.532, 65, 35, 19.36771660839286, ATLAS-ZTF
163.70851, -7.381, o, 58560.415996, 20.229, 0.944, 29, 28, 20.24400500525261, ATLAS-ZTF
163.70851, -7.381, o, 58560.42039, 20.871, 2.159, 16, 35, 20.889700043360186, ATLAS-ZTF
163.70851, -7.381, o, 58560.424402, 20.515, 1.185, 23, 27, 20.495680409956016, ATLAS-ZTF
163.70851, -7.381, o, 58560.428725, -23.025, 14.545, -2, 33, nan, ATLAS-ZTF
163.70851, -7.381, o, 58560.432688, 20.224, 0.804, 30, 24, 20.207196863200842, ATLAS-ZTF
163.70851, -7.381, o, 58560.437081, 20.425, 1.252, 25, 31, 20.405149978319905, ATLAS-ZTF
