mjd,filter,uJy,duJy
59871.136054,c,21.0,13.0
59871.170438,c,28.0,10.0
59872.370463,c,17.0,9.0
59872.376027,c,15.0,9.0
59872.379721,c,26.0,10.0
59872.414263,c,-2.0,10.0
59875.129695,c,15.0,10.0
59875.161029,c,26.0,10.0
59875.189406,c,38.0,10.0
59875.199123,c,32.0,10.0
59876.386341,c,25.0,11.0
59876.389513,c,22.0,11.0
59876.395393,c,-10.0,10.0
59876.408238,c,28.0,9.0
59879.107133,c,31.0,10.0
59879.110307,c,29.0,10.0
59879.115725,c,23.0,11.0
59879.129572,c,8.0,12.0
59880.376097,c,9.0,11.0
59880.380207,c,27.0,12.0
59880.387439,c,20.0,10.0
59880.3974,c,24.0,12.0
59881.366077,c,31.0,10.0
59881.388021,c,11.0,10.0
59881.393516,c,0.0,10.0
59881.409835,c,24.0,10.0
59802.480925,o,52.0,108.0
59802.483721,o,35.0,106.0
59802.486556,o,36.0,121.0
59802.492533,o,-148.0,131.0
59803.213951,o,-93.0,181.0
59803.504655,o,55.0,42.0
59803.506477,o,-19.0,36.0
59803.541891,o,-50.0,33.0
59803.560616,o,-16.0,52.0
59808.487744,o,-1.0,14.0
59808.523134,o,5.0,17.0
59808.532766,o,1.0,14.0
59808.557472,o,2.0,17.0
59809.462407,o,4.0,14.0
59809.464214,o,8.0,9.0
59809.476794,o,-14.0,16.0
59809.494418,o,-11.0,12.0
59810.483937,o,10.0,15.0
59810.493629,o,20.0,13.0
59810.521938,o,-16.0,12.0
59810.54225,o,0.0,14.0
59810.551544,o,13.0,12.0
59810.555282,o,4.0,12.0
59810.561161,o,11.0,10.0
59810.571205,o,2.0,14.0
59810.635703,o,121.0,53.0
59812.479525,o,25.0,10.0
59812.48269,o,7.0,14.0
59812.485855,o,4.0,12.0
59812.494911,o,-9.0,12.0
59813.087477,o,-8.0,14.0
59813.091618,o,1.0,11.0
59813.117835,o,-17.0,11.0
59813.14404,o,16.0,14.0
59813.528144,o,4.0,17.0
59813.531516,o,-2.0,15.0
59813.537431,o,10.0,12.0
59813.566173,o,1.0,14.0
59813.636745,o,-62.0,59.0
59814.432589,o,-17.0,12.0
59814.434866,o,-9.0,12.0
59814.4376,o,2.0,12.0
59814.44768,o,-8.0,12.0
59816.59556,o,20.0,12.0
59816.599013,o,-7.0,12.0
59816.604405,o,9.0,14.0
59816.628756,o,-3.0,18.0
59818.449486,o,23.0,12.0
59818.455172,o,16.0,13.0
59818.45837,o,19.0,12.0
59818.468497,o,12.0,12.0
59819.566874,o,12.0,10.0
59819.573356,o,28.0,12.0
59819.576884,o,41.0,12.0
59819.602583,o,38.0,12.0
59820.450709,o,27.0,10.0
59820.453444,o,10.0,14.0
59820.483573,o,15.0,13.0
59820.501793,o,23.0,14.0
59822.379005,o,27.0,12.0
59822.381755,o,47.0,10.0
59822.384494,o,25.0,11.0
59822.418719,o,51.0,11.0
59823.499078,o,48.0,13.0
59823.502006,o,49.0,13.0
59823.53688,o,47.0,12.0
59823.542779,o,31.0,12.0
59824.447409,o,45.0,13.0
59824.48204,o,64.0,12.0
59824.485228,o,46.0,14.0
59824.502842,o,46.0,13.0
59824.971022,o,43.0,11.0
59824.972824,o,55.0,10.0
59824.975984,o,60.0,10.0
59826.45325,o,36.0,14.0
59826.481402,o,61.0,13.0
59827.191521,o,60.0,15.0
59827.193323,o,50.0,17.0
59827.612604,o,83.0,18.0
59827.615633,o,94.0,19.0
59827.624717,o,70.0,16.0
59828.957978,o,92.0,19.0
59828.959791,o,100.0,20.0
59828.97028,o,50.0,19.0
59830.395445,o,73.0,27.0
59830.417663,o,88.0,26.0
59830.419939,o,46.0,26.0
59831.20733,o,83.0,40.0
59831.212313,o,76.0,31.0
59831.229971,o,125.0,41.0
59836.454351,o,64.0,14.0
59836.457583,o,88.0,15.0
59836.469468,o,107.0,14.0
59836.485406,o,93.0,15.0
59836.544893,o,123.0,20.0
59836.548332,o,107.0,20.0
59836.571502,o,71.0,21.0
59836.582325,o,60.0,21.0
59836.982673,o,81.0,24.0
59836.986157,o,109.0,27.0
59836.991618,o,108.0,25.0
59837.002993,o,78.0,37.0
59837.482108,o,95.0,24.0
59837.485308,o,69.0,19.0
59837.491224,o,103.0,18.0
59837.502484,o,98.0,18.0
59838.396812,o,86.0,14.0
59838.423709,o,88.0,10.0
59838.432426,o,84.0,14.0
59838.434191,o,75.0,13.0
59838.448417,o,65.0,12.0
59838.453362,o,83.0,12.0
59838.46166,o,99.0,11.0
59838.465014,o,87.0,12.0
59839.514798,o,62.0,10.0
59839.519322,o,101.0,11.0
59839.550984,o,83.0,13.0
59840.470588,o,81.0,11.0
59840.47377,o,75.0,12.0
59840.47597,o,53.0,11.0
59840.479645,o,110.0,13.0
59840.47985,o,79.0,11.0
59840.489462,o,86.0,14.0
59840.507428,o,69.0,11.0
59840.518802,o,76.0,11.0
59841.4675,o,75.0,11.0
59841.471566,o,74.0,9.0
59841.476991,o,66.0,12.0
59841.486867,o,74.0,12.0
59841.641074,o,8.0,63.0
59842.455664,o,57.0,12.0
59842.458829,o,76.0,12.0
59842.468708,o,73.0,12.0
59842.474383,o,53.0,11.0
59842.49498,o,59.0,10.0
59842.498216,o,64.0,9.0
59842.503929,o,65.0,11.0
59842.539655,o,79.0,10.0
59843.233756,o,79.0,10.0
59843.236458,o,91.0,9.0
59843.246031,o,92.0,12.0
59844.40519,o,63.0,12.0
59844.406997,o,87.0,10.0
59844.410161,o,81.0,10.0
59844.435089,o,82.0,11.0
59845.449765,o,70.0,14.0
59845.456693,o,104.0,14.0
59845.459856,o,51.0,16.0
59845.469655,o,52.0,12.0
59846.472758,o,61.0,13.0
59846.476881,o,60.0,11.0
59846.504925,o,50.0,12.0
59846.511934,o,56.0,12.0
59848.391412,o,54.0,11.0
59848.393225,o,47.0,12.0
59848.414631,o,52.0,11.0
59848.432263,o,62.0,12.0
59849.384165,o,51.0,12.0
59849.385972,o,56.0,13.0
59849.409362,o,45.0,12.0
59849.412526,o,44.0,10.0
59850.424791,o,28.0,12.0
59850.429507,o,52.0,12.0
59850.460458,o,61.0,11.0
59850.479086,o,50.0,10.0
59851.148274,o,63.0,13.0
59851.150535,o,54.0,11.0
59851.153236,o,48.0,11.0
59851.161375,o,52.0,12.0
59853.427145,o,43.0,9.0
59853.429947,o,46.0,10.0
59853.44465,o,46.0,10.0
59853.464129,o,44.0,11.0
59854.370932,o,37.0,10.0
