mjd,filter,uJy,duJy
59903.211281,o,217.0,12.0
59903.232094,o,216.0,16.0
59907.19583,o,195.0,15.0
59907.198984,o,206.0,18.0
59907.221598,o,271.0,18.0
59908.425616,o,175.0,12.0
59908.427423,o,181.0,14.0
59908.450941,o,183.0,14.0
59908.477325,o,174.0,10.0
59911.229192,o,174.0,17.0
59911.23242,o,197.0,15.0
59911.238732,o,166.0,15.0
59911.249107,o,173.0,16.0
59915.097348,o,203.0,21.0
59915.09915,o,179.0,20.0
59915.102304,o,145.0,20.0
59915.124318,o,183.0,17.0
59916.456489,o,180.0,14.0
59916.46523,o,204.0,16.0
59916.468845,o,205.0,17.0
59916.493925,o,176.0,19.0
59923.212462,o,156.0,28.0
59923.215622,o,133.0,29.0
59923.221097,o,138.0,29.0
59923.256638,o,107.0,30.0
59927.185267,o,87.0,14.0
59927.18887,o,92.0,15.0
59927.195627,o,148.0,13.0
59927.206567,o,94.0,13.0
59928.416736,o,106.0,12.0
59928.420845,o,95.0,11.0
59928.428541,o,85.0,12.0
59928.442707,o,103.0,12.0
59932.927867,o,134.0,38.0
59932.933791,o,142.0,28.0
59882.413935199846,ZTF_g,74.59401782570113,9.458508626063875
59894.40142360004,ZTF_g,267.02922788776164,18.859750020145103
59897.26706020022,ZTF_g,248.2220739956144,14.419147288894717
59899.28270829981,ZTF_g,222.4129139187104,20.923778185997797
59901.338680599816,ZTF_g,188.44126023552866,6.539527573246599
59903.25787039986,ZTF_g,170.78038961007704,11.33476128069606
59905.2981480998,ZTF_g,140.29429144291763,10.731945014102708
59908.29604170006,ZTF_g,108.40696851252122,9.620077034266117
59910.38318290003,ZTF_g,88.11154165528649,6.484548822959783
59923.252222199924,ZTF_g,43.909652487740956,15.270598131675749
59934.32371529983,ZTF_g,19.26814917563956,6.021849115566052
59936.31803240022,ZTF_g,20.31795527516753,4.966267024320681
59880.44270829996,ZTF_r,52.10180870299312,6.726334915158305
59882.368437500205,ZTF_r,117.91036940947457,8.266064820866603
59887.40122690005,ZTF_r,337.68331298733426,14.767936711585142
59889.37906249985,ZTF_r,389.354501381453,10.397566692989248
59897.31665509986,ZTF_r,409.3888404181721,18.377267233044577
59899.3232522998,ZTF_r,328.91221316469165,34.25614278953973
59901.35873840004,ZTF_r,297.1690664890185,14.23014461806059
59903.336655099876,ZTF_r,247.32681225650842,16.686768874078954
59905.33763890015,ZTF_r,215.7537734022652,17.804401028071045
59908.35900459997,ZTF_r,203.7229704855008,11.808752136916913
59910.31515049981,ZTF_r,188.45167417215518,12.398031663153656
59914.387928199954,ZTF_r,190.94170665002665,12.210323359859867
59928.246956000105,ZTF_r,88.92977632801272,11.319449620597608
59932.2754861,ZTF_r,69.47862259073831,8.00945347046209
59934.311782400124,ZTF_r,65.76663175636358,7.085459008646132
59936.29114580015,ZTF_r,57.74877817013525,6.387034191288605
59940.31709490018,ZTF_r,49.711675385370384,7.460847367849386
