# Combined data from 'ATLAS-ZTF' for 'SN 2024jih'
ra, dec, filter, mjd, mag, dmag, flux, dflux, zp, source
249.97834, 37.18252, o, 60462.467495, 18.39, 0.068, 160, 11, 18.389700043360186, ATLAS-ZTF
249.97834, 37.18252, o, 60462.468399, 18.698, 0.121, 120, 15, 18.702046884880936, ATLAS-ZTF
249.97834, 37.18252, o, 60462.500006, 18.246, 0.079, 183, 14, 18.243872275673926, ATLAS-ZTF
249.97834, 37.18252, o, 60462.500909, 18.73, 0.121, 117, 14, 18.729535345634595, ATLAS-ZTF
249.97834, 37.18252, o, 60462.528547, 18.408, 0.098, 157, 15, 18.410250868976917, ATLAS-ZTF
249.97834, 37.18252, o, 60463.415401, 18.546, 0.105, 138, 15, 18.550302283996906, ATLAS-ZTF
249.97834, 37.18252, o, 60463.418204, 18.653, 0.131, 126, 16, 18.64907363720609, ATLAS-ZTF
249.97834, 37.18252, o, 60463.420357, 18.416, 0.077, 156, 12, 18.417188504113845, ATLAS-ZTF
249.97834, 37.18252, o, 60463.423635, 18.604, 0.094, 131, 12, 18.606821760860587, ATLAS-ZTF
249.97834, 37.18252, o, 60463.435709, 18.766, 0.144, 113, 16, 18.767303891291448, ATLAS-ZTF
249.97834, 37.18252, o, 60463.438883, 18.88, 0.113, 102, 12, 18.878499570595203, ATLAS-ZTF
249.97834, 37.18252, o, 60463.454599, 18.815, 0.114, 108, 12, 18.816440611282623, ATLAS-ZTF
249.97834, 37.18252, o, 60463.457831, 18.527, 0.091, 141, 13, 18.52695221836155, ATLAS-ZTF
249.97834, 37.18252, o, 60463.458956, 16.925, 0.016, 617, 10, 16.924287089916895, ATLAS-ZTF
249.97834, 37.18252, o, 60463.45968, 18.459, 0.081, 150, 12, 18.459771852360795, ATLAS-ZTF
249.97834, 37.18252, o, 60463.461145, 18.418, 0.084, 156, 13, 18.417188504113845, ATLAS-ZTF
249.97834, 37.18252, o, 60463.462916, 18.613, 0.087, 130, 11, 18.615141619232908, ATLAS-ZTF
249.97834, 37.18252, o, 60463.46384, 18.618, 0.103, 130, 13, 18.615141619232908, ATLAS-ZTF
249.97834, 37.18252, o, 60463.466662, 18.6, 0.081, 132, 11, 18.598565171985374, ATLAS-ZTF
249.97834, 37.18252, o, 60463.496198, 18.549, 0.077, 138, 11, 18.550302283996906, ATLAS-ZTF
249.97834, 37.18252, o, 60463.505238, 18.643, 0.094, 127, 12, 18.640490697610105, ATLAS-ZTF
249.97834, 37.18252, o, 60464.422325, 18.654, 0.107, 125, 13, 18.657724967479858, ATLAS-ZTF
249.97834, 37.18252, o, 60464.427671, 18.285, 0.074, 176, 13, 18.286218330464624, ATLAS-ZTF
249.97834, 37.18252, o, 60464.430904, 19.119, 0.154, 82, 13, 19.115465369040706, ATLAS-ZTF
249.97834, 37.18252, o, 60464.434568, 18.957, 0.126, 95, 12, 18.955690986777878, ATLAS-ZTF
249.97834, 37.18252, o, 60464.438183, 18.486, 0.093, 146, 14, 18.489117860538904, ATLAS-ZTF
249.97834, 37.18252, o, 60464.465785, 18.984, 0.141, 93, 13, 18.97879262861516, ATLAS-ZTF
249.97834, 37.18252, o, 60464.469333, 18.51, 0.091, 143, 13, 18.511659906337343, ATLAS-ZTF
249.97834, 37.18252, o, 60464.498054, 18.464, 0.1, 149, 15, 18.467034328969312, ATLAS-ZTF
249.97834, 37.18252, o, 60465.390259, 18.521, 0.086, 142, 12, 18.519279139042357, ATLAS-ZTF
249.97834, 37.18252, o, 60465.392218, 18.479, 0.1, 147, 15, 18.481706663129557, ATLAS-ZTF
249.97834, 37.18252, o, 60465.417931, 18.65, 0.17, 126, 21, 18.64907363720609, ATLAS-ZTF
249.97834, 37.18252, o, 60465.421227, 18.753, 0.188, 114, 22, 18.75773787165882, ATLAS-ZTF
249.97834, 37.18252, o, 60465.421679, 18.575, 0.11, 135, 15, 18.574165578762482, ATLAS-ZTF
249.97834, 37.18252, o, 60465.453745, 17.993, 0.11, 230, 25, 17.995680409956016, ATLAS-ZTF
249.97834, 37.18252, o, 60465.454198, 18.368, 0.089, 163, 14, 18.369530988990103, ATLAS-ZTF
249.97834, 37.18252, o, 60465.457059, 18.566, 0.123, 136, 17, 18.566152729074453, ATLAS-ZTF
249.97834, 37.18252, o, 60465.460677, 18.099, 0.139, 209, 29, 18.099634284722363, ATLAS-ZTF
249.97834, 37.18252, o, 60465.471247, 18.252, 0.109, 182, 20, 18.249821530037313, ATLAS-ZTF
249.97834, 37.18252, o, 60465.473721, 17.888, 0.077, 254, 20, 17.88791570845015, ATLAS-ZTF
249.97834, 37.18252, o, 60465.474625, 18.986, 0.182, 92, 17, 18.99053043163611, ATLAS-ZTF
249.97834, 37.18252, o, 60465.530959, 19.045, 0.221, 88, 19, 19.038793319624578, ATLAS-ZTF
249.97834, 37.18252, o, 60465.55942, 18.323, 0.093, 170, 16, 18.323877696554312, ATLAS-ZTF
249.97834, 37.18252, o, 60467.425346, 18.677, 0.074, 123, 9, 18.675237221401503, ATLAS-ZTF
249.97834, 37.18252, o, 60467.428581, 18.896, 0.111, 100, 11, 18.9, ATLAS-ZTF
249.97834, 37.18252, o, 60467.43459, 19.19, 0.148, 77, 11, 19.183773187068795, ATLAS-ZTF
249.97834, 37.18252, o, 60467.448126, 18.99, 0.102, 92, 9, 18.99053043163611, ATLAS-ZTF
249.97834, 37.18252, o, 60467.449558, 18.651, 0.08, 126, 10, 18.64907363720609, ATLAS-ZTF
249.97834, 37.18252, o, 60467.452722, 18.491, 0.075, 146, 11, 18.489117860538904, ATLAS-ZTF
249.97834, 37.18252, o, 60467.458728, 18.828, 0.109, 107, 12, 18.826540555786973, ATLAS-ZTF
249.97834, 37.18252, o, 60467.493931, 18.754, 0.117, 114, 13, 18.75773787165882, ATLAS-ZTF
249.97834, 37.18252, o, 60469.417457, 19.037, 0.148, 88, 13, 19.038793319624578, ATLAS-ZTF
249.97834, 37.18252, o, 60469.422819, 18.737, 0.103, 116, 12, 18.738855026932704, ATLAS-ZTF
249.97834, 37.18252, o, 60469.425983, 19.0, 0.157, 91, 14, 19.002396519197266, ATLAS-ZTF
249.97834, 37.18252, o, 60469.438326, 19.524, 0.359, 56, 20, 19.529529932484497, ATLAS-ZTF
249.97834, 37.18252, o, 60470.380775, 18.869, 0.109, 103, 11, 18.86790693823707, ATLAS-ZTF
249.97834, 37.18252, o, 60470.383942, 19.254, 0.162, 72, 12, 19.256668758921826, ATLAS-ZTF
249.97834, 37.18252, o, 60470.390271, 18.694, 0.101, 121, 12, 18.69303657420887, ATLAS-ZTF
