"# Soruce: CSP, ATLAS; Date: 2004-2009, 2024-2025; Object Type: normal SNe Ia; Number SNe: 403",,,,,
Name,RA,DEC,Redshift,Discovery Date,Source
SN 2024pno,02:28:05.352,-17:25:15.02,0.06,Unknown,ATLAS
SN 2024pnp,13:22:49.844,+60:42:57.79,0.09,Unknown,ATLAS
SN 2024pol,00:02:28.130,+12:44:22.31,0.079,Unknown,ATLAS
SN 2024ppd,13:36:04.560,+33:44:54.89,0.087,Unknown,ATLAS
SN 2024pqk,00:27:38.274,+45:31:28.51,0.04,Unknown,ATLAS
SN 2024prd,01:33:12.012,-06:24:03.62,0.088,Unknown,ATLAS
SN 2024ptm,00:25:50.231,+45:10:05.01,0.08,Unknown,ATLAS
SN 2024ptn,15:18:18.295,+45:43:37.00,0.037283,Unknown,ATLAS
SN 2024ptp,02:43:36.038,-11:01:21.51,0.02,Unknown,ATLAS
SN 2024ptq,03:32:34.440,+19:34:20.10,0.03,Unknown,ATLAS
SN 2024puf,00:41:51.946,-09:36:59.56,0.054056,Unknown,ATLAS
SN 2024pwm,01:18:47.620,-53:17:48.54,0.025,Unknown,ATLAS
SN 2024pwn,13:51:44.971,-29:20:12.79,0.047,Unknown,ATLAS
SN 2024qar,04:31:47.921,+01:40:30.49,0.04,Unknown,ATLAS
SN 2024qat,13:53:34.918,-35:36:46.44,0.04,Unknown,ATLAS
SN 2024qcc,13:24:47.607,+08:17:43.52,0.052,Unknown,ATLAS
SN 2024qjh,01:58:34.406,-01:48:39.42,0.046,Unknown,ATLAS
SN 2024qls,23:01:52.631,-14:21:39.67,0.08,Unknown,ATLAS
SN 2024qng,00:45:19.427,-03:41:22.15,0.07,Unknown,ATLAS
SN 2024qnk,00:26:05.649,+16:09:22.87,0.078,Unknown,ATLAS
SN 2024qwp,00:20:30.824,-28:38:39.05,0.075,Unknown,ATLAS
SN 2024qxa,06:25:35.217,-22:56:28.77,0.024,Unknown,ATLAS
SN 2024qxx,02:03:41.340,+15:06:45.72,0.05,Unknown,ATLAS
SN 2024rkc,13:13:25.463,+27:47:38.36,0.021,Unknown,ATLAS
SN 2024rkg,13:46:22.498,+59:40:46.83,0.041,Unknown,ATLAS
SN 2024rkk,14:29:42.213,+26:27:01.66,0.079,Unknown,ATLAS
SN 2024rku,16:15:10.563,+51:10:26.77,0.114,Unknown,ATLAS
SN 2024rlh,23:41:57.398,-19:02:16.15,0.07,Unknown,ATLAS
SN 2024rmv,18:57:30.785,+50:26:55.46,0.09,Unknown,ATLAS
SN 2024rxr,13:59:14.204,+25:57:48.97,0.064,Unknown,ATLAS
SN 2024saw,23:34:06.062,-20:47:07.75,0.058,Unknown,ATLAS
SN 2024sdn,17:25:13.430,+72:52:48.01,0.05,Unknown,ATLAS
SN 2024sdv,18:12:32.238,-49:29:16.61,0.03,Unknown,ATLAS
SN 2024sfk,01:43:26.220,+16:58:22.04,0.027,Unknown,ATLAS
SN 2024sku,14:12:05.400,-07:50:18.82,0.035,Unknown,ATLAS
SN 2024skv,03:31:35.757,-07:29:50.27,0.055536,Unknown,ATLAS
SN 2024slf,04:21:31.759,+41:20:18.93,0.03,Unknown,ATLAS
SN 2024smo,16:15:33.990,+42:52:43.69,0.058,Unknown,ATLAS
SN 2024sol,00:49:06.588,-31:04:56.33,0.05,Unknown,ATLAS
SN 2024ssi,00:39:40.167,+26:11:49.37,0.05,Unknown,ATLAS
SN 2024ssj,21:51:18.799,+25:10:27.50,0.06,Unknown,ATLAS
SN 2024svg,04:30:04.997,-51:46:30.21,0.047,Unknown,ATLAS
SN 2024svr,04:36:01.753,-29:16:39.00,0.05397,Unknown,ATLAS
SN 2024sza,17:26:53.388,+56:50:53.51,0.027,Unknown,ATLAS
SN 2024tdb,05:30:54.384,+08:58:32.54,0.04,Unknown,ATLAS
SN 2024tt,00:57:25.346,-76:03:34.32,0.069,Unknown,ATLAS
SN 2024tyd,02:39:24.413,-46:09:28.23,0.05,Unknown,ATLAS
SN 2024tyh,05:54:07.965,+41:41:31.86,0.0558,Unknown,ATLAS
SN 2024ua,07:47:20.115,+55:19:48.24,0.087,Unknown,ATLAS
SN 2024uad,02:24:32.329,-49:39:14.86,0.07,Unknown,ATLAS
SN 2024uae,05:04:43.262,-31:55:58.18,0.08,Unknown,ATLAS
SN 2024ucy,05:19:26.677,+51:14:21.91,0.035,Unknown,ATLAS
SN 2024ufz,15:23:24.995,-37:22:36.21,0.014283,Unknown,ATLAS
SN 2024ugc,02:45:17.360,+35:18:19.91,0.026,Unknown,ATLAS
SN 2024uks,08:00:32.790,+51:47:39.48,0.06,Unknown,ATLAS
SN 2024uqc,05:36:49.370,-27:00:32.18,0.05,Unknown,ATLAS
SN 2024usv,01:27:59.569,-27:12:33.72,0.03,Unknown,ATLAS
SN 2024vdu,02:17:52.501,-09:47:51.11,0.055,Unknown,ATLAS
SN 2024vfz,01:41:52.102,-19:43:17.26,0.08,Unknown,ATLAS
SN 2024vke,03:17:23.520,-15:10:35.72,0.03,Unknown,ATLAS
SN 2024vks,07:51:14.264,+34:25:07.54,0.06276453,Unknown,ATLAS
SN 2024vr,02:35:21.118,-25:31:39.24,0.057,Unknown,ATLAS
SN 2024vuu,23:14:34.259,+06:33:23.30,0.0212,Unknown,ATLAS
SN 2024wdm,16:17:44.750,+36:26:11.69,0.070237,Unknown,ATLAS
SN 2024wsp,00:57:45.154,-05:48:13.05,0.06,Unknown,ATLAS
SN 2024wts,00:30:28.410,-32:58:56.04,0.1,Unknown,ATLAS
SN 2024wuj,02:38:20.389,+04:43:23.41,0.0747,Unknown,ATLAS
SN 2024xed,02:28:24.076,+23:33:29.70,0.0339,Unknown,ATLAS
SN 2024xel,04:35:09.272,-24:36:26.42,0.0751,Unknown,ATLAS
SN 2024xem,22:50:06.600,-32:42:15.19,0.077,Unknown,ATLAS
SN 2024xex,05:54:58.796,+51:53:45.58,0.058,Unknown,ATLAS
SN 2024xez,02:10:23.218,-17:55:28.32,0.07,Unknown,ATLAS
SN 2024xhf,03:10:49.161,-00:21:24.95,0.04,Unknown,ATLAS
SN 2024xhg,16:10:20.700,+67:50:06.97,0.04,Unknown,ATLAS
SN 2024xhi,16:54:07.660,+61:48:27.83,0.06,Unknown,ATLAS
SN 2024xhl,17:56:51.130,+56:59:06.36,0.07,Unknown,ATLAS
SN 2024xhm,03:07:59.271,-38:55:49.13,0.066,Unknown,ATLAS
SN 2024xhw,09:28:44.230,+39:25:42.70,0.0755,Unknown,ATLAS
SN 2024xhx,09:39:58.168,+38:12:35.74,0.069,Unknown,ATLAS
SN 2024xjv,03:25:16.920,-05:57:43.87,0.070186,Unknown,ATLAS
SN 2024xky,23:34:34.592,+40:35:16.82,0.033,Unknown,ATLAS
SN 2024xkz,22:34:32.670,+39:29:05.68,0.079,Unknown,ATLAS
SN 2024xl,13:56:24.956,+22:22:43.43,0.07,Unknown,ATLAS
SN 2024xlb,18:51:14.205,+35:06:25.71,0.08,Unknown,ATLAS
SN 2024xli,02:38:57.975,+36:34:00.35,0.0374,Unknown,ATLAS
SN 2024xmd,07:49:01.356,+55:25:34.18,0.041,Unknown,ATLAS
SN 2024xme,01:48:19.539,+42:03:42.70,0.1,Unknown,ATLAS
SN 2024xmw,01:02:20.453,+35:41:38.71,0.085,Unknown,ATLAS
SN 2024xmy,04:55:28.858,-01:05:53.85,0.06,Unknown,ATLAS
SN 2024xoq,07:45:45.686,+52:52:40.63,0.065,Unknown,ATLAS
SN 2024xor,01:00:51.608,+25:40:03.96,0.112,Unknown,ATLAS
SN 2024xos,01:11:56.392,+50:15:55.28,0.08,Unknown,ATLAS
SN 2024xot,10:42:41.170,+44:06:11.59,0.06,Unknown,ATLAS
SN 2024xqa,02:28:05.866,+07:52:51.04,0.073,Unknown,ATLAS
SN 2024xqc,00:21:36.997,-04:13:05.34,0.04,Unknown,ATLAS
SN 2024xra,01:52:55.560,-00:10:09.17,0.080567,Unknown,ATLAS
SN 2024xup,07:20:44.880,+18:37:11.03,0.066,Unknown,ATLAS
SN 2024xvz,18:53:53.324,+29:31:17.59,0.09,Unknown,ATLAS
SN 2024xyn,02:39:23.969,+02:39:07.88,0.021522,Unknown,ATLAS
SN 2024yc,11:52:34.396,-45:46:54.30,0.1,Unknown,ATLAS
SN 2024ygg,03:17:39.402,+28:01:34.83,0.04,Unknown,ATLAS
SN 2024yid,02:47:16.950,-69:12:14.22,0.0604,Unknown,ATLAS
SN 2024ykr,01:10:32.490,-05:42:19.48,0.037039,Unknown,ATLAS
SN 2024yq,14:07:51.450,-10:03:42.05,0.04,Unknown,ATLAS
SN 2024yrc,19:23:47.840,+33:39:53.49,0.05,Unknown,ATLAS
SN 2024ysu,01:42:35.582,+00:13:35.04,0.08,Unknown,ATLAS
SN 2024ysw,02:24:42.581,-07:56:58.39,0.0538,Unknown,ATLAS
SN 2024yt,14:01:12.870,-22:19:19.56,0.04,Unknown,ATLAS
SN 2024zca,06:29:43.702,+17:26:45.31,0.047,Unknown,ATLAS
SN 2024zct,03:56:13.909,-31:01:58.95,0.1,Unknown,ATLAS
SN 2024zcv,03:40:35.339,-41:52:16.10,0.115,Unknown,ATLAS
SN 2024zg,00:50:48.350,-27:23:23.75,0.077,Unknown,ATLAS
SN 2024zjo,07:31:14.744,-54:33:03.67,0.032,Unknown,ATLAS
SN 2024zue,07:23:30.971,+59:25:53.49,0.1,Unknown,ATLAS
SN 2024zug,11:43:15.340,+33:15:58.28,0.035443,Unknown,ATLAS
SN 2024zvq,03:41:43.115,-74:45:28.71,0.05,Unknown,ATLAS
SN 2024zvr,09:37:37.020,-19:01:18.44,0.06,Unknown,ATLAS
SN 2024zvu,03:18:11.449,-45:30:46.85,0.07,Unknown,ATLAS
SN 2024zvx,10:01:05.223,-85:45:45.46,0.064,Unknown,ATLAS
SN 2024zwa,00:00:48.041,+02:31:46.72,0.074,Unknown,ATLAS
SN 2024zxt,02:29:24.000,-33:08:24.38,0.08,Unknown,ATLAS
SN 2025aar,12:53:19.372,-29:03:52.71,0.055,Unknown,ATLAS
SN 2025aec,09:07:03.220,+38:19:34.98,0.055,Unknown,ATLAS
SN 2025aet,06:51:06.312,+19:46:40.33,0.07,Unknown,ATLAS
SN 2025afh,03:07:48.847,-04:15:36.85,0.031,Unknown,ATLAS
SN 2025afx,06:59:15.857,-45:54:23.78,0.03,Unknown,ATLAS
SN 2025aga,13:55:17.405,-17:57:59.70,0.094,Unknown,ATLAS
SN 2025aio,10:26:48.361,+08:43:15.33,0.071,Unknown,ATLAS
SN 2025aja,11:33:36.437,+45:51:07.18,0.033,Unknown,ATLAS
SN 2025akf,02:21:32.611,-43:05:46.12,0.08,Unknown,ATLAS
SN 2025akv,07:43:22.175,-29:12:55.25,0.025,Unknown,ATLAS
SN 2025an,10:57:06.308,+12:35:18.15,0.045,Unknown,ATLAS
SN 2025apl,09:36:33.388,-05:06:37.14,0.04,Unknown,ATLAS
SN 2025bj,13:56:50.866,+26:45:39.72,0.16,Unknown,ATLAS
SN 2025dr,01:06:46.083,+75:36:12.11,0.015948,Unknown,ATLAS
SN 2025E,07:58:38.658,+07:57:47.84,0.035,Unknown,ATLAS
SN 2025eh,09:11:39.214,+38:40:23.16,0.07,Unknown,ATLAS
SN 2025fi,02:49:05.448,-14:28:05.93,0.028413,Unknown,ATLAS
SN 2025fj,07:36:11.924,+38:48:07.93,0.0815,Unknown,ATLAS
SN 2025gf,12:57:13.532,-28:53:53.11,0.082,Unknown,ATLAS
SN 2025gg,12:52:43.452,+41:01:45.84,0.065713,Unknown,ATLAS
SN 2025gk,17:40:18.123,+44:54:24.80,0.04,Unknown,ATLAS
SN 2025gm,07:57:14.013,-19:40:11.13,0.06,Unknown,ATLAS
SN 2025gp,16:32:13.314,+44:24:10.38,0.03,Unknown,ATLAS
SN 2025gr,15:57:43.578,+27:27:52.03,0.03156,Unknown,ATLAS
SN 2025J,02:49:04.626,-22:14:00.98,0.05,Unknown,ATLAS
SN 2025jh,12:57:39.817,-31:59:20.87,0.04,Unknown,ATLAS
SN 2025mb,00:34:16.885,-27:48:05.26,0.005,Unknown,ATLAS
SN 2025mp,02:42:13.886,+01:24:49.25,0.0425,Unknown,ATLAS
SN 2025mq,11:30:41.329,+32:57:09.91,0.046,Unknown,ATLAS
SN 2025N,13:09:20.631,+46:14:23.05,0.04,Unknown,ATLAS
SN 2025nr,03:16:33.232,+44:58:21.03,0.031659,Unknown,ATLAS
SN 2025ou,14:48:06.586,+31:44:44.07,0.0453,Unknown,ATLAS
SN 2025Q,04:41:42.967,-52:25:59.38,0.092,Unknown,ATLAS
SN 2025R,03:45:51.802,-80:08:59.63,0.059,Unknown,ATLAS
SN 2025W,04:16:01.374,-33:21:55.20,0.063,Unknown,ATLAS
SN 2025xi,01:14:41.104,+21:49:06.23,0.08,Unknown,ATLAS
SN 2025xj,11:42:09.251,-18:41:04.81,0.05,Unknown,ATLAS
