# Combined data from 'ATLAS-ZTF' for 'SN 2018eyi'
ra, dec, filter, mjd, mag, dmag, flux, dflux, zp, source
246.30213, 40.84029, o, 58294.446205, -20.814, 1.229, -17, 21, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58296.446887, -21.205, 1.873, -12, 22, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58296.456492, 20.555, 1.07, 22, 23, 20.543943297944484, ATLAS-ZTF
246.30213, 40.84029, o, 58296.465164, -21.712, 2.894, -8, 22, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58296.476155, -20.886, 1.219, -16, 20, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58297.438189, -20.69, 2.143, -19, 41, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58297.442163, 19.5, 0.913, 58, 52, 19.491430016092657, ATLAS-ZTF
246.30213, 40.84029, o, 58297.459503, 21.994, 9.8, 6, 57, 21.95462187404089, ATLAS-ZTF
246.30213, 40.84029, o, 58297.463684, 19.387, 0.825, 64, 53, 19.38455006504028, ATLAS-ZTF
246.30213, 40.84029, o, 58298.374937, 21.371, 2.241, 10, 23, 21.4, ATLAS-ZTF
246.30213, 40.84029, o, 58298.383767, -20.166, 0.75, -31, 23, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58298.395915, -19.355, 0.379, -66, 25, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58298.396375, -22.233, 5.609, -5, 26, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58300.395419, -16.835, 0.875, -670, 586, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58300.402965, -17.983, 0.637, -233, 148, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58300.40983, 16.909, 1.843, 626, 1153, 16.908564166973925, ATLAS-ZTF
246.30213, 40.84029, o, 58300.419249, 17.209, 0.446, 475, 212, 17.208265975937834, ATLAS-ZTF
246.30213, 40.84029, o, 58302.410195, -20.403, 0.526, -25, 13, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58302.422753, 23.792, 13.833, 1, 15, 23.9, ATLAS-ZTF
246.30213, 40.84029, o, 58302.425704, 21.732, 2.176, 7, 16, 21.787254899964356, ATLAS-ZTF
246.30213, 40.84029, o, 58302.440968, -20.725, 0.915, -19, 17, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58304.408875, -20.589, 0.628, -21, 13, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58304.416907, -19.783, 0.257, -44, 11, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58304.430717, -20.599, 1.427, -21, 30, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58304.434645, 19.894, 0.605, 40, 24, 19.894850021680092, ATLAS-ZTF
246.30213, 40.84029, c, 58308.401845, 21.237, 0.667, 12, 8, 21.202046884880936, ATLAS-ZTF
246.30213, 40.84029, c, 58308.416162, -22.395, 1.828, -4, 7, nan, ATLAS-ZTF
246.30213, 40.84029, c, 58308.441202, 21.578, 1.113, 8, 9, 21.64227503252014, ATLAS-ZTF
246.30213, 40.84029, c, 58308.445205, 22.519, 2.583, 4, 9, 22.394850021680092, ATLAS-ZTF
246.30213, 40.84029, o, 58310.39126, -21.228, 1.033, -12, 12, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58310.40323, -19.663, 0.274, -50, 14, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58310.408962, -19.55, 0.232, -55, 13, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58310.42325, -22.075, 2.138, -5, 12, nan, ATLAS-ZTF
246.30213, 40.84029, c, 58312.397535, 21.273, 0.81, 11, 9, 21.296518287104437, ATLAS-ZTF
246.30213, 40.84029, c, 58312.405163, 21.187, 0.807, 12, 10, 21.202046884880936, ATLAS-ZTF
246.30213, 40.84029, c, 58312.417998, 21.827, 1.275, 7, 9, 21.787254899964356, ATLAS-ZTF
246.30213, 40.84029, c, 58312.422399, -23.214, 4.429, -2, 8, nan, ATLAS-ZTF
246.30213, 40.84029, c, 58316.39536, -23.57, 5.556, -1, 8, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58318.379021, 21.481, 1.489, 9, 14, 21.514393726401686, ATLAS-ZTF
246.30213, 40.84029, o, 58318.38521, -22.219, 3.211, -5, 15, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58318.399028, 20.778, 0.786, 18, 14, 20.761818737241732, ATLAS-ZTF
246.30213, 40.84029, o, 58318.402922, -20.816, 0.821, -17, 14, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58320.375931, -20.786, 1.308, -18, 23, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58320.388383, -20.387, 0.691, -25, 18, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58320.393652, 22.084, 2.489, 5, 13, 22.15257498915995, ATLAS-ZTF
246.30213, 40.84029, o, 58320.408339, 21.874, 2.085, 6, 14, 21.95462187404089, ATLAS-ZTF
246.30213, 40.84029, o, 58322.371223, -19.138, 0.245, -80, 20, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58322.383689, -20.921, 1.257, -16, 20, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58322.38896, -24.883, 46.5, 0, 19, inf, ATLAS-ZTF
246.30213, 40.84029, o, 58322.403231, 20.485, 0.779, 23, 18, 20.495680409956016, ATLAS-ZTF
246.30213, 40.84029, o, 58324.374692, -20.758, 0.721, -18, 13, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58324.387157, -20.563, 0.75, -22, 16, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58324.387614, -20.189, 0.525, -30, 16, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58324.392013, -21.261, 1.528, -11, 17, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58328.245757, 21.291, 1.97, 11, 22, 21.296518287104437, ATLAS-ZTF
246.30213, 40.84029, o, 58328.257608, 21.257, 0.893, 11, 10, 21.296518287104437, ATLAS-ZTF
246.30213, 40.84029, o, 58328.26476, 20.788, 0.665, 18, 12, 20.761818737241732, ATLAS-ZTF
246.30213, 40.84029, o, 58328.277007, -22.454, 3.167, -4, 12, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58330.353527, 20.908, 1.364, 16, 22, 20.889700043360186, ATLAS-ZTF
246.30213, 40.84029, o, 58330.359219, -20.802, 1.279, -17, 22, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58330.36014, 21.457, 2.444, 10, 23, 21.4, ATLAS-ZTF
246.30213, 40.84029, o, 58330.372648, 21.047, 1.59, 14, 22, 21.034679910804403, ATLAS-ZTF
246.30213, 40.84029, c, 58331.427827, 18.601, 0.627, 132, 83, 18.598565171985374, ATLAS-ZTF
246.30213, 40.84029, c, 58331.439053, -20.983, 2.522, -15, 37, nan, ATLAS-ZTF
246.30213, 40.84029, c, 58331.45008, -19.527, 0.75, -56, 42, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58334.342418, 17.888, 0.325, 254, 83, 17.88791570845015, ATLAS-ZTF
246.30213, 40.84029, o, 58334.347146, 18.396, 0.248, 159, 39, 18.39650718919887, ATLAS-ZTF
246.30213, 40.84029, o, 58334.35916, -18.259, 1.265, -180, 228, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58334.365764, 18.829, 0.838, 107, 90, 18.826540555786973, ATLAS-ZTF
246.30213, 40.84029, o, 58338.322125, 18.344, 0.071, 167, 12, 18.34320882213104, ATLAS-ZTF
246.30213, 40.84029, o, 58338.329603, 18.586, 0.102, 134, 14, 18.58223800408798, ATLAS-ZTF
246.30213, 40.84029, o, 58338.34032, 18.404, 0.076, 158, 12, 18.403357282613943, ATLAS-ZTF
246.30213, 40.84029, o, 58338.342754, 18.488, 0.086, 146, 13, 18.489117860538904, ATLAS-ZTF
246.30213, 40.84029, o, 58342.309594, 18.319, 0.077, 171, 13, 18.317509724019615, ATLAS-ZTF
246.30213, 40.84029, o, 58342.31706, 18.312, 0.076, 172, 13, 18.311178882731127, ATLAS-ZTF
246.30213, 40.84029, o, 58342.325112, 18.246, 0.064, 183, 12, 18.243872275673926, ATLAS-ZTF
246.30213, 40.84029, o, 58342.33861, 18.247, 0.076, 182, 14, 18.249821530037313, ATLAS-ZTF
246.30213, 40.84029, c, 58344.332765, 18.638, 0.073, 127, 9, 18.640490697610105, ATLAS-ZTF
246.30213, 40.84029, c, 58344.336648, 18.571, 0.067, 135, 9, 18.574165578762482, ATLAS-ZTF
246.30213, 40.84029, c, 58344.350948, 18.446, 0.062, 152, 9, 18.44539103013807, ATLAS-ZTF
246.30213, 40.84029, c, 58344.354392, 18.659, 0.078, 125, 10, 18.657724967479858, ATLAS-ZTF
246.30213, 40.84029, o, 58348.288203, 18.348, 0.068, 166, 11, 18.34972977989986, ATLAS-ZTF
246.30213, 40.84029, o, 58348.296145, 18.727, 0.101, 117, 12, 18.729535345634595, ATLAS-ZTF
246.30213, 40.84029, o, 58348.304107, 18.422, 0.085, 155, 13, 18.42417075457427, ATLAS-ZTF
246.30213, 40.84029, o, 58348.312034, 18.265, 0.061, 179, 11, 18.267867422550268, ATLAS-ZTF
246.30213, 40.84029, o, 58352.296406, 18.617, 1.995, 130, 259, 18.615141619232908, ATLAS-ZTF
246.30213, 40.84029, o, 58352.304293, 18.892, 1.537, 101, 155, 18.889196565543394, ATLAS-ZTF
246.30213, 40.84029, o, 58360.244404, 19.602, 0.201, 52, 11, 19.609991640913, ATLAS-ZTF
246.30213, 40.84029, o, 58360.257549, 19.353, 0.16, 66, 10, 19.351140161145327, ATLAS-ZTF
246.30213, 40.84029, o, 58360.272057, 19.46, 0.158, 60, 9, 19.45462187404089, ATLAS-ZTF
246.30213, 40.84029, o, 58360.274836, 19.218, 0.117, 75, 9, 19.21234684152075, ATLAS-ZTF
246.30213, 40.84029, o, 58362.242335, 19.713, 0.295, 47, 14, 19.719755355160704, ATLAS-ZTF
246.30213, 40.84029, o, 58362.250775, 19.794, 0.338, 44, 15, 19.79136830878453, ATLAS-ZTF
246.30213, 40.84029, o, 58362.259171, 19.654, 0.276, 50, 14, 19.65257498915995, ATLAS-ZTF
246.30213, 40.84029, o, 58362.268483, 19.722, 0.316, 47, 15, 19.719755355160704, ATLAS-ZTF
246.30213, 40.84029, o, 58364.267897, 19.656, 0.24, 50, 12, 19.65257498915995, ATLAS-ZTF
246.30213, 40.84029, o, 58366.239709, 19.633, 0.278, 51, 14, 19.631074559755156, ATLAS-ZTF
246.30213, 40.84029, o, 58366.240171, -21.351, 1.22, -10, 13, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58366.247765, 20.359, 0.562, 26, 15, 20.362566630072955, ATLAS-ZTF
246.30213, 40.84029, o, 58366.250649, -22.562, 3.333, -3, 11, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58368.240782, 21.0, 0.712, 14, 10, 21.034679910804403, ATLAS-ZTF
246.30213, 40.84029, o, 58368.249202, -25.941, 77.0, 0, 12, inf, ATLAS-ZTF
246.30213, 40.84029, o, 58368.250116, 20.634, 0.486, 20, 10, 20.647425010840045, ATLAS-ZTF
246.30213, 40.84029, o, 58368.25103, 20.435, 0.433, 24, 10, 20.449471895720983, ATLAS-ZTF
246.30213, 40.84029, o, 58372.227514, 20.57, 0.76, 22, 16, 20.543943297944484, ATLAS-ZTF
246.30213, 40.84029, o, 58372.236832, 19.561, 0.167, 54, 9, 19.569015600442576, ATLAS-ZTF
246.30213, 40.84029, o, 58372.24587, -23.132, 4.412, -2, 9, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58372.254863, 20.671, 0.52, 20, 10, 20.647425010840045, ATLAS-ZTF
246.30213, 40.84029, o, 58374.224799, -19.311, 0.56, -68, 38, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58374.227623, -20.735, 1.244, -18, 23, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58374.24026, -19.589, 0.328, -53, 17, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58374.248249, 23.075, 12.0, 2, 26, 23.147425010840045, ATLAS-ZTF
246.30213, 40.84029, c, 58376.262344, 20.223, 0.283, 30, 8, 20.207196863200842, ATLAS-ZTF
246.30213, 40.84029, c, 58376.271428, 21.461, 1.203, 10, 11, 21.4, ATLAS-ZTF
246.30213, 40.84029, c, 58376.280426, 20.552, 0.705, 22, 15, 20.543943297944484, ATLAS-ZTF
246.30213, 40.84029, c, 58376.289534, 19.986, 0.359, 37, 13, 19.97949568983251, ATLAS-ZTF
246.30213, 40.84029, o, 58378.220618, -20.298, 0.744, -28, 20, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58378.223444, 21.682, 2.525, 8, 20, 21.64227503252014, ATLAS-ZTF
246.30213, 40.84029, o, 58378.240273, 20.601, 1.202, 21, 25, 20.5944517631652, ATLAS-ZTF
246.30213, 40.84029, o, 58378.24403, 20.25, 0.664, 29, 19, 20.24400500525261, ATLAS-ZTF
246.30213, 40.84029, o, 58380.218815, 20.191, 0.786, 30, 24, 20.207196863200842, ATLAS-ZTF
246.30213, 40.84029, o, 58380.224954, 20.479, 0.661, 23, 15, 20.495680409956016, ATLAS-ZTF
246.30213, 40.84029, o, 58380.239594, 22.417, 3.353, 4, 13, 22.394850021680092, ATLAS-ZTF
246.30213, 40.84029, o, 58380.242382, 22.852, 4.577, 3, 12, 22.707196863200842, ATLAS-ZTF
246.30213, 40.84029, o, 58382.217686, -19.804, 0.521, -44, 23, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58382.221953, 20.281, 0.747, 28, 21, 20.28210492164445, ATLAS-ZTF
246.30213, 40.84029, o, 58382.237837, -20.498, 0.91, -23, 21, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58382.240632, 20.63, 0.981, 20, 20, 20.647425010840045, ATLAS-ZTF
246.30213, 40.84029, o, 58384.219174, -21.185, 2.051, -12, 25, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58384.219631, -21.416, 2.266, -10, 22, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58384.225301, 19.759, 0.535, 45, 24, 19.76696871556164, ATLAS-ZTF
246.30213, 40.84029, o, 58384.234165, 19.335, 0.27, 67, 18, 19.334812993247933, ATLAS-ZTF
246.30213, 40.84029, o, 58390.211746, 21.19, 2.159, 12, 26, 21.202046884880936, ATLAS-ZTF
246.30213, 40.84029, o, 58390.216853, -21.99, 2.864, -6, 17, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58390.220172, -19.996, 0.356, -36, 13, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58390.232396, 19.977, 0.337, 37, 12, 19.97949568983251, ATLAS-ZTF
246.30213, 40.84029, o, 58392.210589, -18.135, 0.57, -202, 115, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58392.216763, -20.522, 1.778, -22, 40, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58392.225205, 19.016, 0.312, 90, 28, 19.014393726401686, ATLAS-ZTF
246.30213, 40.84029, o, 58392.240719, -20.749, 0.597, -18, 11, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58394.210239, 21.446, 1.973, 10, 19, 21.4, ATLAS-ZTF
246.30213, 40.84029, o, 58394.21686, -19.753, 0.32, -46, 15, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58394.226217, -19.826, 0.371, -43, 16, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58394.233624, 21.866, 2.241, 6, 15, 21.95462187404089, ATLAS-ZTF
246.30213, 40.84029, c, 58396.232999, 20.601, 0.593, 21, 12, 20.5944517631652, ATLAS-ZTF
246.30213, 40.84029, c, 58396.241857, 22.17, 2.414, 5, 12, 22.15257498915995, ATLAS-ZTF
246.30213, 40.84029, c, 58396.250635, 21.124, 1.105, 13, 14, 21.115141619232908, ATLAS-ZTF
246.30213, 40.84029, c, 58396.259535, 20.355, 0.481, 26, 13, 20.362566630072955, ATLAS-ZTF
246.30213, 40.84029, c, 58400.224093, 21.069, 0.854, 14, 12, 21.034679910804403, ATLAS-ZTF
246.30213, 40.84029, c, 58400.232534, -22.264, 2.733, -4, 12, nan, ATLAS-ZTF
