# Combined data from 'ATLAS-ZTF' for 'SN 2019noh'
ra, dec, filter, mjd, mag, dmag, flux, dflux, zp, source
346.41982, 27.66598, c, 58727.368455, 21.071, 0.676, 14, 9, 21.034679910804403, ATLAS-ZTF
346.41982, 27.66598, c, 58727.382979, 20.046, 0.279, 35, 10, 20.03982988912431, ATLAS-ZTF
346.41982, 27.66598, c, 58727.389051, 21.261, 0.871, 11, 10, 21.296518287104437, ATLAS-ZTF
346.41982, 27.66598, o, 58731.621934, 19.449, 0.175, 60, 10, 19.45462187404089, ATLAS-ZTF
346.41982, 27.66598, o, 58731.625612, 18.699, 0.112, 120, 14, 18.702046884880936, ATLAS-ZTF
346.41982, 27.66598, o, 58731.631135, 18.971, 0.183, 94, 17, 18.967180366000754, ATLAS-ZTF
346.41982, 27.66598, o, 58731.634344, 18.816, 0.176, 108, 19, 18.816440611282623, ATLAS-ZTF
346.41982, 27.66598, o, 58733.416469, 19.065, 0.151, 86, 13, 19.06375387189108, ATLAS-ZTF
346.41982, 27.66598, o, 58733.419901, 18.892, 0.129, 101, 13, 18.889196565543394, ATLAS-ZTF
346.41982, 27.66598, o, 58733.439638, 20.309, 0.766, 27, 21, 20.32159058960253, ATLAS-ZTF
346.41982, 27.66598, o, 58733.447096, 19.041, 0.137, 88, 12, 19.038793319624578, ATLAS-ZTF
346.41982, 27.66598, o, 58737.423199, 18.501, 0.18, 144, 26, 18.504093769761873, ATLAS-ZTF
346.41982, 27.66598, o, 58737.426187, 19.434, 0.357, 61, 22, 19.43667541247308, ATLAS-ZTF
346.41982, 27.66598, o, 58737.431906, 19.397, 0.329, 63, 21, 19.401648626366043, ATLAS-ZTF
346.41982, 27.66598, o, 58737.442688, 19.091, 0.191, 84, 16, 19.089301784845293, ATLAS-ZTF
346.41982, 27.66598, o, 58739.399602, -19.647, 1.062, -50, 53, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58739.400995, 18.711, 0.729, 119, 87, 18.711132596518674, ATLAS-ZTF
346.41982, 27.66598, o, 58739.402832, 19.249, 0.525, 72, 38, 19.256668758921826, ATLAS-ZTF
346.41982, 27.66598, o, 58739.408892, -18.374, 1.753, -162, 284, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58739.40935, 18.153, 0.438, 199, 87, 18.152867308975733, ATLAS-ZTF
346.41982, 27.66598, o, 58739.420185, 18.849, 1.481, 105, 155, 18.847026752325153, ATLAS-ZTF
346.41982, 27.66598, o, 58739.425253, -23.117, 19.474, -2, 40, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58743.455736, 21.12, 1.144, 13, 15, 21.115141619232908, ATLAS-ZTF
346.41982, 27.66598, o, 58743.461513, 20.135, 0.529, 32, 17, 20.137125054200233, ATLAS-ZTF
346.41982, 27.66598, o, 58743.46477, -21.125, 1.319, -13, 17, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58743.468375, 19.999, 0.432, 36, 16, 20.00924374808178, ATLAS-ZTF
346.41982, 27.66598, o, 58743.472427, 20.516, 0.775, 23, 18, 20.495680409956016, ATLAS-ZTF
346.41982, 27.66598, o, 58743.474836, -20.568, 0.874, -22, 19, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58743.477778, 22.829, 4.8, 3, 13, 22.707196863200842, ATLAS-ZTF
346.41982, 27.66598, o, 58743.487651, 22.228, 3.4, 5, 16, 22.15257498915995, ATLAS-ZTF
346.41982, 27.66598, o, 58745.45408, 20.696, 0.911, 19, 17, 20.703115997617928, ATLAS-ZTF
346.41982, 27.66598, o, 58745.457542, -21.617, 1.709, -8, 14, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58745.464407, 20.445, 0.648, 24, 16, 20.449471895720983, ATLAS-ZTF
346.41982, 27.66598, o, 58745.465329, 19.236, 0.287, 73, 21, 19.241692849698858, ATLAS-ZTF
346.41982, 27.66598, o, 58745.468689, 19.515, 0.344, 57, 20, 19.51031286081877, ATLAS-ZTF
346.41982, 27.66598, o, 58745.484061, 20.398, 0.596, 25, 15, 20.405149978319905, ATLAS-ZTF
346.41982, 27.66598, o, 58745.485444, -19.97, 0.654, -37, 24, nan, ATLAS-ZTF
346.41982, 27.66598, c, 58751.377868, 21.355, 1.281, 10, 13, 21.4, ATLAS-ZTF
346.41982, 27.66598, c, 58751.378329, -21.418, 0.939, -10, 9, nan, ATLAS-ZTF
346.41982, 27.66598, c, 58751.383263, -18.894, 0.087, -101, 9, nan, ATLAS-ZTF
346.41982, 27.66598, c, 58751.383721, 21.389, 0.893, 10, 9, 21.4, ATLAS-ZTF
346.41982, 27.66598, c, 58751.396784, -19.815, 0.166, -43, 7, nan, ATLAS-ZTF
346.41982, 27.66598, c, 58751.401615, -20.49, 0.337, -23, 8, nan, ATLAS-ZTF
346.41982, 27.66598, c, 58751.402528, 22.286, 2.027, 4, 9, 22.394850021680092, ATLAS-ZTF
346.41982, 27.66598, o, 58753.502685, 21.618, 1.857, 8, 15, 21.64227503252014, ATLAS-ZTF
346.41982, 27.66598, o, 58753.505931, 19.854, 0.41, 42, 17, 19.841876774005247, ATLAS-ZTF
346.41982, 27.66598, o, 58753.511473, 21.356, 1.298, 10, 14, 21.4, ATLAS-ZTF
346.41982, 27.66598, o, 58753.521684, -19.276, 0.199, -71, 14, nan, ATLAS-ZTF
346.41982, 27.66598, c, 58755.391705, 22.255, 2.268, 4, 10, 22.394850021680092, ATLAS-ZTF
346.41982, 27.66598, c, 58755.394905, 21.498, 1.107, 9, 10, 21.514393726401686, ATLAS-ZTF
346.41982, 27.66598, c, 58755.400995, 23.206, 5.176, 2, 10, 23.147425010840045, ATLAS-ZTF
346.41982, 27.66598, c, 58755.411107, -20.392, 0.463, -25, 12, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58757.472575, -19.803, 0.249, -44, 11, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58757.487396, 22.001, 2.358, 6, 14, 21.95462187404089, ATLAS-ZTF
346.41982, 27.66598, o, 58757.495035, -21.14, 1.153, -13, 15, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58757.499173, -19.695, 0.385, -48, 18, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58761.475602, -20.511, 0.45, -23, 10, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58761.478827, 20.612, 0.553, 21, 11, 20.5944517631652, ATLAS-ZTF
346.41982, 27.66598, o, 58761.484354, 21.65, 1.483, 8, 12, 21.64227503252014, ATLAS-ZTF
346.41982, 27.66598, o, 58761.496914, -23.449, 8.071, -2, 12, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58763.350808, 19.662, 0.282, 50, 14, 19.65257498915995, ATLAS-ZTF
346.41982, 27.66598, o, 58763.354012, 22.932, 5.667, 2, 14, 23.147425010840045, ATLAS-ZTF
346.41982, 27.66598, o, 58763.360467, -21.054, 1.358, -14, 19, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58763.37158, 20.423, 0.629, 25, 16, 20.405149978319905, ATLAS-ZTF
346.41982, 27.66598, o, 58765.34394, 20.055, 0.41, 34, 14, 20.07130270739436, ATLAS-ZTF
346.41982, 27.66598, o, 58765.347489, 20.413, 0.577, 25, 14, 20.405149978319905, ATLAS-ZTF
346.41982, 27.66598, o, 58765.354414, -20.918, 0.915, -16, 14, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58765.365162, 21.695, 1.505, 8, 12, 21.64227503252014, ATLAS-ZTF
346.41982, 27.66598, o, 58769.248329, 18.416, 0.49, 156, 76, 18.417188504113845, ATLAS-ZTF
346.41982, 27.66598, o, 58769.262117, 23.048, 11.522, 2, 25, 23.147425010840045, ATLAS-ZTF
346.41982, 27.66598, o, 58769.272451, 19.555, 0.393, 55, 22, 19.54909327626439, ATLAS-ZTF
346.41982, 27.66598, o, 58769.281729, -20.03, 0.612, -35, 22, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58769.401983, 20.552, 1.466, 22, 32, 20.543943297944484, ATLAS-ZTF
346.41982, 27.66598, o, 58769.405722, 18.947, 0.393, 96, 38, 18.944321917401076, ATLAS-ZTF
346.41982, 27.66598, o, 58769.411479, 19.548, 0.452, 55, 25, 19.54909327626439, ATLAS-ZTF
346.41982, 27.66598, o, 58771.452694, 20.263, 0.639, 28, 18, 20.28210492164445, ATLAS-ZTF
346.41982, 27.66598, o, 58771.455603, 21.704, 2.81, 8, 21, 21.64227503252014, ATLAS-ZTF
346.41982, 27.66598, o, 58771.462073, -22.396, 5.186, -4, 21, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58771.473294, 24.496, 39.5, 1, 23, 23.9, ATLAS-ZTF
346.41982, 27.66598, o, 58773.403677, 21.413, 1.504, 10, 15, 21.4, ATLAS-ZTF
