# Combination of '2021wzb' data from 'ATLAS', 'ZTF'
filter, zp, z, ra, dec, mjd, mag, dmag, flux, dflux, source
o, 23.9, nan, 72.76725, -5.95689, 59484.568608, 19.245, 0.302, 73.0, 22.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59484.57183, 19.79, 0.498, 44.0, 22.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59484.581504, 20.588, 0.973, 21.0, 20.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59484.596717, 21.453, 2.082, 10.0, 20.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59486.540145, 19.851, 0.404, 42.0, 17.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59486.543346, 19.764, 0.365, 45.0, 16.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59486.546091, 19.903, 0.425, 40.0, 17.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59486.551136, 20.405, 0.615, 25.0, 15.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59488.567603, 20.21, 0.592, 30.0, 18.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59488.569447, 20.069, 0.506, 34.0, 17.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59488.57405, 20.073, 0.541, 34.0, 18.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59488.579118, 20.786, 1.012, 18.0, 18.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59490.546472, 20.039, 0.538, 35.0, 19.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59490.549227, 19.937, 0.394, 38.0, 15.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59490.550602, 20.051, 0.462, 35.0, 16.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59490.552437, 20.863, 0.713, 16.0, 12.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59490.553356, 20.124, 0.439, 32.0, 14.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59490.555644, 20.663, 0.893, 20.0, 18.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59490.561138, 19.491, 0.237, 58.0, 14.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59490.562514, 20.302, 0.611, 28.0, 17.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59492.540742, -19.332, 2.571, -67.0, 173.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59492.543516, 17.969, 0.419, 236.0, 99.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59492.549507, 17.502, 0.485, 362.0, 176.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59492.559987, 18.261, 0.314, 180.0, 57.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59493.554593, 20.432, 0.405, 24.0, 10.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59493.556424, 20.188, 0.375, 30.0, 11.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59493.559169, 20.289, 0.509, 28.0, 14.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59493.570024, 21.182, 1.126, 12.0, 14.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59494.50121, 20.231, 0.593, 29.0, 17.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59494.508613, 21.25, 1.296, 12.0, 15.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59494.518416, 20.19, 0.493, 30.0, 15.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59494.524555, 19.835, 0.355, 42.0, 15.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59494.527302, 20.49, 0.671, 23.0, 16.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59494.531462, 21.304, 1.208, 11.0, 13.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59494.534221, 20.054, 0.526, 35.0, 18.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59494.539263, 22.344, 3.867, 4.0, 16.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59496.530124, -24.074, 18.667, -1.0, 16.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59496.531963, -20.293, 0.674, -28.0, 19.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59496.537033, 20.662, 0.965, 20.0, 19.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59496.543557, 20.277, 0.541, 28.0, 15.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59498.486609, 20.496, 0.551, 23.0, 13.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59498.498141, 20.204, 0.427, 30.0, 13.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59498.501367, 21.593, 1.688, 8.0, 14.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59498.515696, 22.522, 3.516, 4.0, 12.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59500.472346, 19.897, 0.407, 40.0, 16.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59500.474193, 20.216, 0.563, 30.0, 17.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59500.479739, 20.259, 0.559, 29.0, 16.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59500.488489, 20.624, 0.87, 20.0, 18.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59501.5479, 22.661, 4.28, 3.0, 13.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59501.551574, 20.052, 0.369, 35.0, 13.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59501.558984, 20.265, 0.476, 28.0, 14.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59501.570457, 21.605, 1.341, 8.0, 11.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59503.382935, 20.573, 1.867, 21.0, 40.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59503.390335, -21.196, 2.48, -12.0, 30.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59503.407761, 19.189, 0.465, 77.0, 36.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59503.420304, 19.225, 0.31, 74.0, 23.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59506.496708, 20.723, 1.097, 19.0, 20.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59506.498559, 21.699, 2.422, 8.0, 18.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59506.501332, -20.389, 0.83, -25.0, 21.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59506.506381, -21.875, 4.246, -6.0, 27.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59508.429168, -23.477, 29.75, -2.0, 44.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59508.431985, 21.977, 6.484, 6.0, 38.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59508.43613, 19.198, 0.541, 76.0, 41.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59508.444454, 22.123, 7.833, 5.0, 40.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59509.490895, 20.557, 1.343, 22.0, 29.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59509.506873, 19.951, 0.799, 38.0, 30.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59509.510075, -23.572, 23.7, -1.0, 32.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59509.515564, -23.765, 25.0, -1.0, 28.0, ATLAS
