# Data from 'ATLAS' for 'SN ATLAS2022an'
RA, Dec, F, MJD, m, dm, uJy, duJy, zp, source
190.88433, -41.36599, o, 59624.01365, 18.409, 0.144, 157, 23, 18.410250868976917, ATLAS
190.88433, -41.36599, o, 59624.026646, 18.26, 0.161, 180, 29, 18.261818737241732, ATLAS
190.88433, -41.36599, o, 59626.984769, 17.982, 0.13, 233, 30, 17.981610197434954, ATLAS
190.88433, -41.36599, o, 59626.987514, 17.981, 0.151, 233, 35, 17.981610197434954, ATLAS
190.88433, -41.36599, o, 59626.992834, 18.477, 0.173, 148, 26, 18.474345711512605, ATLAS
190.88433, -41.36599, o, 59627.007541, 18.273, 0.164, 178, 29, 18.273949994227763, ATLAS
190.88433, -41.36599, o, 59628.133946, 18.192, 0.155, 192, 30, 18.191746928241123, ATLAS
190.88433, -41.36599, o, 59628.191824, 18.469, 0.17, 149, 25, 18.467034328969312, ATLAS
190.88433, -41.36599, o, 59628.216179, 18.995, 0.371, 92, 34, 18.99053043163611, ATLAS
190.88433, -41.36599, o, 59628.218989, 17.979, 0.114, 234, 27, 17.976960356474642, ATLAS
190.88433, -41.36599, o, 59628.237161, 19.011, 0.347, 90, 31, 19.014393726401686, ATLAS
190.88433, -41.36599, o, 59629.217402, 18.334, 0.156, 168, 26, 18.33672679568534, ATLAS
190.88433, -41.36599, o, 59629.241396, 18.345, 0.165, 167, 28, 18.34320882213104, ATLAS
190.88433, -41.36599, o, 59629.245274, 18.479, 0.163, 147, 24, 18.481706663129557, ATLAS
190.88433, -41.36599, o, 59629.270067, 18.143, 0.562, 201, 113, 18.142009856448777, ATLAS
190.88433, -41.36599, o, 59630.354339, 18.353, 0.149, 166, 25, 18.34972977989986, ATLAS
190.88433, -41.36599, o, 59630.387323, 18.487, 0.183, 146, 27, 18.489117860538904, ATLAS
190.88433, -41.36599, o, 59630.390975, 18.351, 0.203, 166, 34, 18.34972977989986, ATLAS
190.88433, -41.36599, o, 59632.277563, 18.397, 0.148, 159, 24, 18.39650718919887, ATLAS
190.88433, -41.36599, o, 59632.280857, 19.052, 0.206, 87, 18, 19.051201868453454, ATLAS
190.88433, -41.36599, o, 59632.292, 18.348, 0.138, 166, 23, 18.34972977989986, ATLAS
190.88433, -41.36599, o, 59632.308953, 18.712, 0.183, 119, 22, 18.711132596518674, ATLAS
190.88433, -41.36599, o, 59633.316686, 18.534, 0.105, 140, 15, 18.534679910804403, ATLAS
190.88433, -41.36599, o, 59633.329955, 18.269, 0.105, 179, 19, 18.267867422550268, ATLAS
190.88433, -41.36599, o, 59633.337706, 18.44, 0.14, 153, 21, 18.438271422956, ATLAS
190.88433, -41.36599, o, 59633.341143, 19.102, 0.214, 83, 18, 19.102304769059813, ATLAS
190.88433, -41.36599, o, 59636.272901, 17.753, 0.078, 288, 22, 17.75151878060192, ATLAS
190.88433, -41.36599, o, 59636.274266, 18.227, 0.116, 186, 22, 18.226217639455207, ATLAS
190.88433, -41.36599, o, 59636.278824, 18.243, 0.126, 183, 23, 18.243872275673926, ATLAS
190.88433, -41.36599, o, 59636.289911, 18.232, 0.106, 185, 20, 18.232070678992464, ATLAS
190.88433, -41.36599, o, 59637.190188, 18.999, 0.545, 91, 50, 19.002396519197266, ATLAS
190.88433, -41.36599, o, 59637.19302, 18.424, 0.299, 155, 46, 18.42417075457427, ATLAS
190.88433, -41.36599, o, 59637.20961, 19.376, 0.281, 64, 18, 19.38455006504028, ATLAS
190.88433, -41.36599, o, 59637.233748, 18.405, 0.117, 158, 18, 18.403357282613943, ATLAS
190.88433, -41.36599, c, 59639.180819, 18.809, 0.109, 109, 12, 18.80643375514844, ATLAS
190.88433, -41.36599, c, 59639.18356, 18.801, 0.111, 110, 12, 18.796518287104437, ATLAS
190.88433, -41.36599, c, 59639.204878, 18.838, 0.124, 106, 13, 18.836735336838075, ATLAS
190.88433, -41.36599, c, 59639.220918, 18.702, 0.084, 120, 10, 18.702046884880936, ATLAS
190.88433, -41.36599, o, 59641.177731, 18.855, 0.137, 104, 14, 18.85741665175305, ATLAS
190.88433, -41.36599, o, 59641.201794, 18.682, 0.096, 122, 12, 18.684100423313126, ATLAS
190.88433, -41.36599, o, 59641.225907, 18.841, 0.127, 106, 14, 18.836735336838075, ATLAS
190.88433, -41.36599, o, 59641.237563, 19.005, 0.146, 91, 13, 19.002396519197266, ATLAS
190.88433, -41.36599, o, 59642.899375, 19.559, 0.287, 54, 16, 19.569015600442576, ATLAS
190.88433, -41.36599, o, 59642.933387, 18.185, 0.378, 193, 73, 18.186106727480563, ATLAS
190.88433, -41.36599, o, 59644.067174, 18.85, 0.161, 105, 17, 18.847026752325153, ATLAS
190.88433, -41.36599, o, 59644.069938, 18.749, 0.157, 115, 18, 18.74825539911597, ATLAS
190.88433, -41.36599, o, 59644.092409, 18.953, 0.163, 95, 16, 18.955690986777878, ATLAS
190.88433, -41.36599, o, 59644.107172, 18.903, 0.135, 100, 14, 18.9, ATLAS
190.88433, -41.36599, c, 59644.179388, 19.235, 0.155, 74, 11, 19.226920700672558, ATLAS
190.88433, -41.36599, c, 59644.181198, 18.851, 0.121, 105, 13, 18.847026752325153, ATLAS
190.88433, -41.36599, c, 59644.190942, 18.857, 0.11, 104, 11, 18.85741665175305, ATLAS
190.88433, -41.36599, c, 59644.20546, 19.462, 0.195, 60, 12, 19.45462187404089, ATLAS
190.88433, -41.36599, c, 59645.225207, 19.397, 0.176, 63, 11, 19.401648626366043, ATLAS
190.88433, -41.36599, c, 59645.227917, 19.114, 0.157, 82, 13, 19.115465369040706, ATLAS
190.88433, -41.36599, c, 59645.251109, 19.685, 0.202, 48, 10, 19.69689690656103, ATLAS
190.88433, -41.36599, c, 59645.256533, 19.144, 0.155, 80, 12, 19.14227503252014, ATLAS
190.88433, -41.36599, o, 59647.025146, 18.848, 0.161, 105, 17, 18.847026752325153, ATLAS
190.88433, -41.36599, o, 59647.029402, 19.171, 0.182, 78, 14, 19.1697634932738, ATLAS
190.88433, -41.36599, o, 59647.037704, 18.964, 0.186, 94, 18, 18.967180366000754, ATLAS
190.88433, -41.36599, o, 59647.077631, 19.291, 0.246, 70, 17, 19.287254899964356, ATLAS
190.88433, -41.36599, o, 59647.947414, 19.382, 0.225, 64, 14, 19.38455006504028, ATLAS
190.88433, -41.36599, o, 59647.949781, 19.101, 0.19, 83, 16, 19.102304769059813, ATLAS
190.88433, -41.36599, o, 59647.955545, 19.858, 0.331, 41, 14, 19.86804035820066, ATLAS
190.88433, -41.36599, o, 59647.965203, 18.913, 0.153, 99, 15, 18.910912013506124, ATLAS
190.88433, -41.36599, o, 59652.216964, 18.754, 0.152, 114, 17, 18.75773787165882, ATLAS
190.88433, -41.36599, o, 59652.220322, 19.013, 0.248, 90, 22, 19.014393726401686, ATLAS
190.88433, -41.36599, o, 59652.233099, 18.962, 0.232, 94, 22, 18.967180366000754, ATLAS
190.88433, -41.36599, o, 59652.23998, 19.058, 0.222, 86, 19, 19.06375387189108, ATLAS
190.88433, -41.36599, o, 59653.215788, 20.032, 0.747, 35, 26, 20.03982988912431, ATLAS
190.88433, -41.36599, o, 59653.219473, 23.206, 12.786, 2, 24, 23.147425010840045, ATLAS
190.88433, -41.36599, o, 59653.225758, 18.918, 0.232, 98, 23, 18.92193481076876, ATLAS
190.88433, -41.36599, o, 59653.236564, 19.376, 0.334, 64, 22, 19.38455006504028, ATLAS
190.88433, -41.36599, o, 59654.000436, 19.8, 0.613, 44, 27, 19.79136830878453, ATLAS
190.88433, -41.36599, o, 59654.003278, 18.439, 0.225, 153, 34, 18.438271422956, ATLAS
190.88433, -41.36599, o, 59654.009472, -20.955, 3.2, -15, 48, nan, ATLAS
190.88433, -41.36599, o, 59654.042779, 18.873, 0.177, 102, 18, 18.878499570595203, ATLAS
190.88433, -41.36599, o, 59654.997526, 19.149, 0.282, 80, 22, 19.14227503252014, ATLAS
190.88433, -41.36599, o, 59655.002915, 19.289, 0.258, 70, 18, 19.287254899964356, ATLAS
190.88433, -41.36599, o, 59655.006492, 19.2, 0.268, 76, 20, 19.197966019298022, ATLAS
190.88433, -41.36599, o, 59655.046288, 18.889, 0.188, 101, 19, 18.889196565543394, ATLAS
190.88433, -41.36599, o, 59655.898516, 18.812, 0.333, 108, 36, 18.816440611282623, ATLAS
190.88433, -41.36599, o, 59655.91694, 19.458, 0.379, 60, 23, 19.45462187404089, ATLAS
190.88433, -41.36599, o, 59655.918307, -21.222, 2.316, -12, 27, nan, ATLAS
190.88433, -41.36599, o, 59655.923512, 19.218, 0.343, 75, 26, 19.21234684152075, ATLAS
190.88433, -41.36599, o, 59656.256233, 18.826, 0.312, 107, 33, 18.826540555786973, ATLAS
190.88433, -41.36599, o, 59656.259605, 18.909, 0.306, 99, 30, 18.910912013506124, ATLAS
190.88433, -41.36599, o, 59656.265123, 19.862, 0.943, 41, 39, 19.86804035820066, ATLAS
190.88433, -41.36599, o, 59656.276037, 19.485, 0.561, 58, 33, 19.491430016092657, ATLAS
190.88433, -41.36599, o, 59657.273537, 19.843, 0.861, 42, 36, 19.841876774005247, ATLAS
190.88433, -41.36599, o, 59657.279324, -20.0, 0.784, -36, 28, nan, ATLAS
190.88433, -41.36599, o, 59657.289604, 18.948, 0.504, 96, 48, 18.944321917401076, ATLAS
190.88433, -41.36599, o, 59658.24889, 19.252, 0.431, 72, 31, 19.256668758921826, ATLAS
190.88433, -41.36599, o, 59658.251785, -20.322, 1.098, -27, 30, nan, ATLAS
190.88433, -41.36599, o, 59658.258857, 19.878, 0.927, 41, 38, 19.86804035820066, ATLAS
190.88433, -41.36599, o, 59658.288664, 22.485, 8.414, 4, 31, 22.394850021680092, ATLAS
190.88433, -41.36599, o, 59660.03968, 19.111, 0.288, 82, 24, 19.115465369040706, ATLAS
190.88433, -41.36599, o, 59660.044933, 18.983, 0.337, 93, 31, 18.97879262861516, ATLAS
190.88433, -41.36599, o, 59660.047807, 19.744, 0.531, 46, 24, 19.743105420796063, ATLAS
190.88433, -41.36599, o, 59660.058161, 20.486, 1.399, 23, 32, 20.495680409956016, ATLAS
190.88433, -41.36599, o, 59660.113696, 20.842, 1.348, 17, 22, 20.823877696554312, ATLAS
190.88433, -41.36599, o, 59660.116438, 20.591, 1.135, 21, 24, 20.5944517631652, ATLAS
190.88433, -41.36599, o, 59660.139326, 18.916, 0.252, 99, 25, 18.910912013506124, ATLAS
190.88433, -41.36599, o, 59660.155499, -22.88, 6.13, -3, 16, nan, ATLAS
190.88433, -41.36599, o, 59661.233437, 20.398, 0.925, 25, 23, 20.405149978319905, ATLAS
190.88433, -41.36599, o, 59661.249113, 22.87, 7.667, 3, 20, 22.707196863200842, ATLAS
190.88433, -41.36599, o, 59661.25199, 21.217, 1.809, 12, 21, 21.202046884880936, ATLAS
190.88433, -41.36599, o, 59661.262567, 19.739, 0.517, 46, 24, 19.743105420796063, ATLAS
190.88433, -41.36599, o, 59662.280502, 22.878, 6.952, 3, 18, 22.707196863200842, ATLAS
190.88433, -41.36599, o, 59662.283933, 21.679, 2.242, 8, 17, 21.64227503252014, ATLAS
190.88433, -41.36599, o, 59664.247039, 20.447, 0.51, 24, 12, 20.449471895720983, ATLAS
190.88433, -41.36599, o, 59664.279972, -22.239, 4.231, -5, 20, nan, ATLAS
190.88433, -41.36599, o, 59664.282501, 20.254, 0.629, 29, 18, 20.24400500525261, ATLAS
190.88433, -41.36599, o, 59664.309885, -21.589, 1.841, -8, 16, nan, ATLAS
190.88433, -41.36599, c, 59665.922707, 17.823, 0.033, 270, 9, 17.82159058960253, ATLAS
190.88433, -41.36599, c, 59665.924621, 19.065, 0.12, 86, 10, 19.06375387189108, ATLAS
190.88433, -41.36599, c, 59665.931931, 19.586, 0.208, 53, 11, 19.589310325998028, ATLAS
190.88433, -41.36599, c, 59665.954975, 16.933, 0.015, 612, 9, 16.933121444636093, ATLAS
190.88433, -41.36599, o, 59666.13525, 19.758, 0.393, 45, 18, 19.76696871556164, ATLAS
190.88433, -41.36599, o, 59666.14864, 19.825, 0.277, 43, 12, 19.816328861051034, ATLAS
190.88433, -41.36599, o, 59666.151382, 20.038, 0.5, 35, 18, 20.03982988912431, ATLAS
190.88433, -41.36599, o, 59666.171561, 20.53, 0.649, 22, 14, 20.543943297944484, ATLAS
190.88433, -41.36599, c, 59666.871089, -21.332, 27.0, -11, 287, nan, ATLAS
190.88433, -41.36599, o, 59668.135243, 20.524, 0.636, 22, 14, 20.543943297944484, ATLAS
190.88433, -41.36599, o, 59668.136595, 20.725, 0.807, 19, 15, 20.703115997617928, ATLAS
190.88433, -41.36599, o, 59668.142526, 19.633, 0.297, 51, 15, 19.631074559755156, ATLAS
190.88433, -41.36599, o, 59668.168767, 20.296, 0.487, 28, 14, 20.28210492164445, ATLAS
190.88433, -41.36599, o, 59669.125973, 19.471, 0.259, 59, 15, 19.47286997089464, ATLAS
190.88433, -41.36599, o, 59669.130058, -20.262, 0.574, -28, 16, nan, ATLAS
190.88433, -41.36599, o, 59669.141769, 19.587, 0.326, 53, 17, 19.589310325998028, ATLAS
190.88433, -41.36599, o, 59669.147113, 18.333, 0.104, 169, 18, 18.330283238465814, ATLAS
190.88433, -41.36599, o, 59670.207996, 19.481, 0.303, 59, 18, 19.47286997089464, ATLAS
190.88433, -41.36599, o, 59670.217946, 19.334, 0.292, 67, 20, 19.334812993247933, ATLAS
190.88433, -41.36599, o, 59670.236279, 20.521, 0.859, 22, 19, 20.543943297944484, ATLAS
190.88433, -41.36599, o, 59670.24408, 21.269, 1.667, 11, 19, 21.296518287104437, ATLAS
190.88433, -41.36599, o, 59672.237771, 20.373, 0.808, 26, 21, 20.362566630072955, ATLAS
190.88433, -41.36599, o, 59672.241881, 20.166, 0.637, 31, 20, 20.171595765414317, ATLAS
190.88433, -41.36599, o, 59672.249186, 20.088, 0.645, 34, 22, 20.07130270739436, ATLAS
190.88433, -41.36599, o, 59672.26244, 20.061, 0.518, 34, 18, 20.07130270739436, ATLAS
190.88433, -41.36599, o, 59673.229705, 19.261, 0.261, 72, 19, 19.256668758921826, ATLAS
190.88433, -41.36599, o, 59673.23266, 19.814, 0.49, 43, 21, 19.816328861051034, ATLAS
190.88433, -41.36599, o, 59673.238174, 20.93, 1.348, 15, 21, 20.959771852360795, ATLAS
190.88433, -41.36599, o, 59673.258508, 20.97, 1.184, 15, 18, 20.959771852360795, ATLAS
190.88433, -41.36599, o, 59674.134681, 16.182, 0.011, 1223, 14, 16.181433857409285, ATLAS
190.88433, -41.36599, o, 59674.136032, 16.083, 0.011, 1339, 15, 16.083048557469976, ATLAS
190.88433, -41.36599, o, 59674.139651, 18.956, 0.168, 95, 16, 18.955690986777878, ATLAS
190.88433, -41.36599, o, 59674.177596, 18.218, 0.083, 188, 16, 18.214605376840797, ATLAS
190.88433, -41.36599, o, 59676.090771, 19.246, 0.327, 73, 24, 19.241692849698858, ATLAS
190.88433, -41.36599, o, 59676.093954, 18.725, 0.149, 118, 18, 18.720294981734686, ATLAS
190.88433, -41.36599, o, 59676.116739, 19.439, 0.285, 61, 17, 19.43667541247308, ATLAS
190.88433, -41.36599, o, 59676.129764, 19.014, 0.214, 90, 19, 19.014393726401686, ATLAS
190.88433, -41.36599, o, 59677.12264, 19.177, 0.315, 77, 24, 19.183773187068795, ATLAS
190.88433, -41.36599, o, 59677.126073, 18.702, 0.151, 120, 18, 18.702046884880936, ATLAS
190.88433, -41.36599, o, 59677.132689, 19.221, 0.29, 74, 22, 19.226920700672558, ATLAS
190.88433, -41.36599, o, 59677.139592, 19.33, 0.387, 67, 26, 19.334812993247933, ATLAS
190.88433, -41.36599, o, 59678.194545, 19.711, 0.304, 47, 14, 19.719755355160704, ATLAS
190.88433, -41.36599, o, 59678.197276, 21.259, 1.386, 11, 16, 21.296518287104437, ATLAS
190.88433, -41.36599, o, 59678.202411, 20.52, 1.219, 22, 27, 20.543943297944484, ATLAS
190.88433, -41.36599, o, 59678.229511, 19.731, 0.533, 46, 25, 19.743105420796063, ATLAS
190.88433, -41.36599, o, 59680.222533, 20.433, 0.813, 24, 20, 20.449471895720983, ATLAS
190.88433, -41.36599, o, 59680.225714, 20.754, 1.153, 18, 21, 20.761818737241732, ATLAS
190.88433, -41.36599, o, 59680.231224, 20.473, 0.815, 24, 19, 20.449471895720983, ATLAS
190.88433, -41.36599, o, 59680.267078, 19.978, 0.475, 37, 18, 19.97949568983251, ATLAS
190.88433, -41.36599, o, 59681.205442, -20.089, 0.747, -33, 25, nan, ATLAS
190.88433, -41.36599, o, 59681.227297, -22.045, 3.486, -6, 19, nan, ATLAS
190.88433, -41.36599, o, 59681.232156, -21.317, 1.556, -11, 17, nan, ATLAS
190.88433, -41.36599, o, 59681.251033, -22.061, 3.69, -5, 20, nan, ATLAS
190.88433, -41.36599, o, 59682.195599, -21.876, 2.913, -6, 19, nan, ATLAS
190.88433, -41.36599, o, 59682.224137, 21.8, 3.543, 7, 24, 21.787254899964356, ATLAS
190.88433, -41.36599, o, 59682.259686, 21.42, 2.068, 10, 20, 21.4, ATLAS
190.88433, -41.36599, o, 59682.267121, 21.204, 1.893, 12, 23, 21.202046884880936, ATLAS
