ra, dec, objname, z, discoverydate
52.46175000000002, 0.056833000000000015, 2007jg, 0.0371, 54357.0
31.612833, -0.899528, 2007hx, 0.0794, 54346.0
180.46999999999997, -18.972693999999997, 2007sr, 0.0055, 54452.0
211.885667, -26.55183299999999, 2008cf, 0.046, 54590.0
181.01208300000002, 20.245167000000002, 2008bf, 0.0235, 54543.0
138.82345800000002, -25.600082999999998, 2006lu, 0.0534, 54038.0
100.260458, -38.038611, 2008bq, 0.034, 54558.0
345.44954199999995, 15.586499999999997, 2007hj, 0.0141, 54344.0
340.067083, -66.485083, 2006bh, 0.0109, 53827.0
315.87341699999996, -67.18363899999997, 2008cc, 0.0104, 54580.0
27.17695800000001, -48.649389000000006, 2007st, 0.0212, 54456.0
77.95299999999999, 5.194278, 2005el, 0.0149, 53638.0
21.701124999999998, -1.2379999999999998, 2005hj, 0.0574, 53669.0
177.26712500000005, -9.729139000000004, 2009ds, 0.0193, 54949.0
186.15799999999993, 10.838167, 2008ar, 0.0261, 54523.0
41.929708000000005, 13.254110999999996, 2007so, 0.0297, 54447.0
27.950458000000005, 0.26341700000000007, 2006ob, 0.0592, 54052.0
202.50749999999996, 13.415778000000001, 2006br, 0.0246, 53850.0
160.117583, 9.202332999999998, 2005ki, 0.0192, 53692.0
19.182333, 0.794556, 2005ir, 0.0763, 53671.0
43.754583000000004, 16.009667000000007, 2006os, 0.0328, 54060.0
171.01441699999998, -12.291444000000002, 2006ax, 0.0167, 53814.0
359.6354170000001, -18.709167000000004, 2005iq, 0.034, 53679.0
29.19975, -0.213722, 2005hc, 0.0459, 53655.0
189.74058300000004, 11.1295, 2008bz, 0.0603, 54578.0
45.61874999999996, -24.455972000000013, 2008fu, 0.052, 54734.0
322.7469169999999, 13.989222000000002, 2006ev, 0.0287, 53990.0
14.389875000000004, -1.3886110000000003, 2007nq, 0.045, 54394.0
202.77420799999993, -15.101832999999997, 2007ca, 0.0141, 54215.0
45.97375000000001, -11.994277999999996, 2008R, 0.0135, 54492.0
184.32158300000003, 16.371556000000005, 2005bg, 0.0231, 53457.0
127.88866699999993, -1.199444, 2007bd, 0.0309, 54194.0
107.92004199999998, -26.685083000000002, 2009ag, 0.0086, 54880.0
185.724958, 15.809193999999998, 2006X, 0.0052, 53770.0
21.346, -18.172443999999995, 2008gg, 0.032, 54748.0
50.753042, 1.361889, 2008gp, 0.0334, 54766.0
nan, nan, 2020ais, 0.02, 58867.0
nan, nan, 2020ais, 0.02, 58867.0
nan, nan, 2018awi, -99999, -99999
nan, nan, 2018awi, -99999, -99999
nan, nan, 2021mab, 0.021, 59343.0
1.0079580000000004, -11.168750000000001, 2008hj, 0.0379, 54790.0
49.399167, -1.6917219999999995, 2006gj, 0.0284, 53996.0
37.68020800000001, -2.938832999999999, 2005A, 0.0191, 53375.0
75.88908300000001, 6.659917000000002, 2009ad, 0.0284, 54875.0
10.690917, -23.558444, 2006et, 0.0226, 53981.0
79.39320799999999, -23.781722, 2006is, 0.031, 53996.0
170.16158300000006, -3.5461940000000003, 2009P, 0.0251, 54859.0
169.81070800000006, 20.809028000000012, 2007bc, 0.0208, 54194.0
104.29804199999995, 20.437139, 2008C, 0.0166, 54468.0
201.38991700000003, -24.652250000000002, 2007cg, 0.0332, 54231.0
139.051958, -16.304444, 2005am, 0.0079, 53423.0
207.50137499999994, -30.57616700000001, 2005al, 0.0124, 53425.0
170.92616700000005, -22.270693999999995, 2009aa, 0.0273, 54865.0
31.081291999999998, -8.728389, 2006ef, 0.0179, 53965.0
322.1547080000001, 1.2281940000000002, 2006eq, 0.0495, 53973.0
17.954750000000004, 14.640832999999997, 2008fr, 0.0397, 54723.0
340.5417499999999, 19.994556, 2004ef, 0.031, 53252.0
109.13583300000003, -29.325500000000005, 2008fp, 0.0057, 54720.0
58.59512500000001, -19.181722000000004, 2009D, 0.025, 54833.0
105.40258300000002, 14.13325, 2005na, 0.0263, 53735.0
32.321417, -23.412443999999997, 2009le, 0.0178, 55151.0
64.15162500000001, 2.764166999999999, 2009ab, 0.0112, 54870.0
303.499833, -44.352167, 2008ff, 0.0193, 54710.0
30.553207999999994, -0.09763900000000002, 2004dt, 0.0197, 53228.0
nan, nan, 2018awi, -99999, -99999
nan, nan, 2021mab, 0.021, 59343.0
nan, nan, 2020ais, 0.02, 58867.0
nan, nan, 2019ahh, 0.0225, 58513.0
nan, nan, 2021jbp, 0.042, 59315.0
nan, nan, 2021mab, 0.021, 59343.0
nan, nan, 2021mab, 0.021, 59343.0
nan, nan, 2021jbp, 0.042, 59315.0
nan, nan, 2021jbp, 0.042, 59315.0
nan, nan, 2019ahh, 0.0225, 58513.0
nan, nan, 2019ahh, 0.0225, 58513.0
nan, nan, 2021mab, 0.021, 59343.0
nan, nan, 2021mab, 0.021, 59343.0
nan, nan, 2021jbp, 0.042, 59315.0
nan, nan, 2021jbp, 0.042, 59315.0
nan, nan, 2019ahh, 0.0225, 58513.0
nan, nan, 2019ahh, 0.0225, 58513.0
nan, nan, 2021mab, 0.021, 59343.0
nan, nan, 2020ais, 0.02, 58867.0
nan, nan, 2021jbp, 0.042, 59315.0
nan, nan, 2019ahh, 0.0225, 58513.0
nan, nan, 2021mab, 0.021, 59343.0
nan, nan, 2020ais, 0.02, 58867.0
nan, nan, 2021jbp, 0.042, 59315.0
nan, nan, 2019ahh, 0.0225, 58513.0
nan, nan, 2021mab, 0.021, 59343.0
nan, nan, 2020ais, 0.02, 58867.0
nan, nan, 2021jbp, 0.042, 59315.0
nan, nan, 2019ahh, 0.0225, 58513.0
nan, nan, 2021mab, 0.021, 59343.0
nan, nan, 2020ais, 0.02, 58867.0
nan, nan, 2021jbp, 0.042, 59315.0
nan, nan, 2019ahh, 0.0225, 58513.0
nan, nan, 2021mab, 0.021, 59343.0
nan, nan, 2020ais, 0.02, 58867.0
nan, nan, 2021jbp, 0.042, 59315.0
nan, nan, 2019ahh, 0.0225, 58513.0
nan, nan, 2021mab, 0.021, 59343.0
nan, nan, 2020ais, 0.02, 58867.0
nan, nan, 2021mab, 0.021, 59343.0
nan, nan, 2020ais, 0.02, 58867.0
nan, nan, 2021jbp, 0.042, 59315.0
nan, nan, 2019ahh, 0.0225, 58513.0
325.5467266669998, -34.163038333299994, 2023hnl, -99999.0, -99999
25.2798614, -13.3572934, 2022rbp, -99999.0, -99999
259.59640083157996, -0.38763241052632, 2021lug, -99999.0, -99999
179.80122268570997, 11.505493042857, 2020jht, -99999.0, -99999
64.66150000000002, 35.660569, 2021yam, -99999.0, -99999
305.886333, 19.711099999999995, 2020mbf, -99999.0, -99999
142.243442219, -14.805522340099998, 2020jgl, -99999.0, -99999
154.33245800000003, 36.651061, 2019rrt, -99999.0, -99999
160.38385209800006, 52.651016154400004, 2021lma, -99999.0, -99999
28.999297850699985, -2.3453790038699998, 2020tzb, -99999.0, -99999
288.91945639999994, 55.6646826, 2020xcz, -99999.0, -99999
0.8189699976850003, 2.2521766816599995, 2020vnr, -99999.0, -99999
79.70204750000002, -36.62507, 2021bnb, -99999.0, -99999
290.8097173000001, 41.936262199999994, 2022rvb, -99999.0, -99999
214.76132256899996, -7.390585087870001, 2021hwk, -99999.0, -99999
200.36380470700007, 48.441108682, 2020kui, -99999.0, -99999
202.48796799999997, 31.722591000000005, 2022mzr, -99999.0, -99999
70.77341666669999, -12.453970000000002, 2022abjn, -99999.0, -99999
